x,y,z
-0.30000442,-0.58052117,10.061657
-0.2952162,-0.47518083,9.86534
-0.26169884,-0.50869817,9.280000
-0.12762928,-0.39378148,9.874918
-0.21860503,-0.6619205,9.697754
-0.266487,-0.6619205,9.597201
-0.13720568,-0.49912181,9.530167
-0.17072307,-0.56615657,9.477497
-0.23296963,-0.5709447,9.348216
-0.060594514,-0.54700375,9.28118
0.05432222,-0.6140385,9.39131
0.044745825,-0.5422156,9.491861
0.05432222,-0.50869817,9.381733
0.15008616,-0.7050143,9.348216
-0.007924348,-0.6714969,9.487074
0.0926278,-0.59009755,9.57326
0.12135699,-0.7050143,9.673813
0.11178059,-0.6475559,9.702541
0.11178059,-0.68586147,9.750423
0.2506383,-0.6475559,9.6929655
0.31288487,-0.52306277,9.874918
0.2506383,-0.59009755,9.932376
0.17402714,-0.66670865,9.78873
0.26979113,-0.38420507,9.970682
0.21712095,-0.3028057,10.08081
0.19796816,-0.15915978,10.042504
0.38470787,-0.5326392,10.085598
0.49004817,-0.82471925,10.119116
0.4661072,-0.84387195,10.02814
0.6336941,-0.7337435,9.951529
0.6959407,-0.9635769,9.970682
0.6911525,-1.4615495,9.913222
0.60017675,-1.3322681,9.73606
0.6576351,-0.83429563,9.721695
1.1077257,-0.6284031,9.5876255
0.8778922,-1.2508687,8.960372
0.7390344,-0.60446215,8.337906
1.2322187,-0.7098025,8.510281
1.1843369,-1.1263757,8.117649
-0.05580631,-0.6762851,6.2741933
-1.4300189,1.0809834,2.7405033
-2.1003668,1.5406504,-1.4683223
-4.6285353,0.88945556,-8.056882
-9.206052,9.259225,-25.24651
-10.862768,20.918486,-34.899517
-20.036955,7.8467064,-26.615934
-33.80781,-7.4467964,-39.936703
-59.644924,-18.574568,-37.465996
-115.3556,15.742444,18.996433
-64.49536,-5.014392,41.390835
-27.827353,-26.302717,40.777943
-12.4955435,7.104536,47.988968
-3.517673,10.528097,41.386047
1.2609481,-3.7694607,29.353306
-9.92907,-8.318249,26.082968
-22.89072,-11.382695,22.970638
-24.614471,-4.061541,20.351494
-29.37394,-5.4644823,14.203447
-29.153683,-6.85306,8.859819
-28.085915,-5.957667,8.3331175
-27.200098,-2.8453386,4.0716224
-25.265667,-0.6714969,-2.526514
-18.40418,-1.1503167,-10.494075
-12.567366,-0.3267467,-10.087078
-8.454305,0.8655145,-7.2668295
-6.452838,1.9141297,-5.365915
-4.3029375,1.923706,-2.8377469
-1.7029462,0.1903786,0.95450574
-0.14678209,-0.69543785,2.6303747
0.55229473,-0.93005955,4.3397617
1.0359027,-0.9970943,5.9964776
1.0885729,-0.13521878,7.2414093
0.6049649,0.58301085,8.155954
0.23627374,0.37233016,9.271605
0.8587394,0.35796556,9.3530035
1.1173021,0.05630911,9.290757
0.849163,0.15686125,9.285969
0.85395116,0.19995502,8.910000
1.1460313,-0.16394797,8.7784195
1.1460313,-0.015513852,9.329062
0.95450336,-0.46560442,9.860553
0.82522196,-0.61882675,9.831823
0.6432705,-0.59009755,9.884494
0.70551705,-1.0162472,9.73606
0.6384823,-0.41293427,9.908435
0.58581215,-0.38899326,10.171785
0.6863643,-0.3171703,10.190939
0.9305624,-0.77204907,10.085598
1.1795486,-0.6714969,9.563684
0.85395116,-0.18788897,9.702541
0.55708295,0.11855567,9.956317
0.61454135,-0.025090255,10.056869
0.7390344,0.09940288,9.870129
0.3033085,-0.106489606,9.664237
0.3176731,-0.034666643,9.793518
0.53793013,0.22868422,9.769577
0.49004817,0.5063997,9.57326
0.37991965,0.09940288,9.515802
0.6336941,-0.07297222,9.707331
0.6719997,-0.17831257,9.89407
