x,y,z
0.4565308,0.34360096,9.525379
0.40864885,0.16643766,9.453556
0.34640226,0.16164947,9.357792
0.4661072,0.04194451,9.381733
0.55229473,0.23826063,9.429615
0.49004817,0.03236813,9.520591
0.34161407,-0.049031235,9.501438
0.43258983,0.051520906,9.750423
0.4661072,-0.015513852,9.831823
0.38470787,-0.08254862,9.889281
0.5187774,0.061097316,9.807882
0.60017675,0.17122585,9.827036
0.4996246,0.18080226,9.89407
0.55708295,0.14728487,9.774364
0.6672115,0.12813208,9.716907
0.64805865,0.2191078,9.726482
0.56665933,0.03236813,9.73606
0.4661072,0.0850383,9.764789
0.45174265,0.271778,9.640296
0.4804718,0.2047432,9.669024
0.5235656,0.046732716,9.140000
0.5044128,0.12334388,9.73606
0.5906004,0.1903786,9.625931
0.74861085,0.13292027,9.635508
0.71988165,0.15207306,9.702541
0.7917046,0.022791736,9.73606
0.7964928,0.17601407,9.453556
0.8347984,0.271778,9.400886
0.849163,0.0898265,9.185417
1.0885729,-0.14000699,8.773632
0.91140956,0.21431962,7.8303576
0.2793675,0.5877991,5.4171057
0.60975313,0.70271575,2.6399512
0.37034327,1.6938727,1.7684993
-1.9279915,0.81284434,2.879361
-3.637378,-1.2604452,0.13572389
-3.9246702,-0.3075939,-2.1769755
-4.863157,2.4408314,-2.2487986
-8.066461,1.2342057,-0.13241518
-11.241036,-2.1941438,2.1324022
-12.150793,0.17122585,1.8115929
-13.501065,1.4161572,1.9791799
-16.192032,1.507133,1.8786277
-18.701048,0.7410214,2.759656
-21.53566,-0.7050143,4.74197
-23.259413,-0.8534484,5.5415993
-23.139706,-0.46081623,8.194261
-21.53566,1.459251,10.818192
-17.480059,0.5877991,11.16773
-14.425187,-0.43687522,11.771044
-12.16037,-1.3945147,10.617087
-10.824462,1.3682753,11.253918
-10.1397505,3.183002,12.422238
-8.597951,2.3977377,11.320952
-8.473458,0.34360096,9.156688
-9.737542,-0.8869658,7.3132324
-11.585786,-0.24534735,6.5231795
-13.003092,1.3012406,6.082665
-14.506586,2.9292276,6.2215233
-16.163303,2.6898177,6.446568
-15.469014,-0.7002261,6.6333084
-14.698114,-0.7193788,8.045826
-14.908795,1.799213,8.2517185
-15.670118,0.7266568,8.304389
-14.262388,-2.9171615,6.709919
-12.576943,-1.5764662,6.834412
-12.337533,0.43457666,7.725017
-11.38947,0.5207643,6.6333084
-9.206052,-1.0497645,5.661304
-7.683405,-2.155838,5.020000
-6.9986925,-1.4471848,5.8432555
-6.1655464,0.09940288,4.6557827
-4.604594,0.7122922,3.123559
-2.689315,0.15207306,1.9025687
-1.7747692,-0.111277804,1.667947
-1.4635364,-0.56136835,3.2576287
-1.0996333,0.2669898,3.7412364
-0.23775782,1.0426778,3.2097466
0.13093337,0.9373375,3.5114028
0.2841557,0.50161153,4.6892996
0.509201,0.81284434,5.9246545
0.6336941,0.50161153,7.5287013
0.88268036,-0.07776043,8.558163
1.1077257,0.18559042,9.405674
0.8778922,0.6931394,10.195726
0.82522196,1.2150528,10.291491
1.0646319,1.3826399,10.401619
0.920986,1.2342057,10.3489485
0.71988165,0.9995841,10.171785
0.9975971,0.66441023,10.2675495
1.1699723,1.095348,10.008986
1.0023854,1.1480181,9.879705
0.8922568,0.951702,9.760001
1.0119618,0.9373375,9.621142
0.8204338,0.7936915,9.60199
0.65284693,0.779327,9.625931
0.8443748,0.7410214,9.506226
0.73424625,0.5925873,9.511015
0.43737805,0.6883512,9.712119
0.3990724,0.8080562,9.649872
