x,y,z
1.2178543,0.32444814,9.424827
1.1125139,0.1903786,9.511015
1.3184065,0.18080226,9.558897
1.3040417,0.30529538,9.621142
1.3040417,0.42021212,9.515802
1.4524759,0.29093078,9.534956
1.4285349,0.22389603,9.6929655
1.1987014,0.36754194,9.640296
0.99280894,0.37233016,9.271605
1.093361,0.45372948,9.218935
1.1173021,0.24783698,8.740115
0.95450336,0.3005072,7.653194
1.093361,0.27656618,6.5806375
1.1077257,0.9277611,5.737915
0.90662134,1.2820877,4.7084527
0.6432705,1.3060286,3.999799
-0.084535494,0.5063997,4.2918797
-0.9559875,-0.034666643,4.2870913
-1.4731127,0.61174,4.1961155
-2.2392247,0.32923636,5.9533844
-4.527983,-3.0320783,8.390575
-5.9213486,-1.5716779,6.9732704
-5.777703,0.9373375,6.2837696
-5.86389,1.1911119,6.456145
-7.6020055,-1.1742576,7.5191245
-8.650621,-1.4232439,7.9404864
-8.875666,0.8750909,7.3036556
-9.373639,1.7896366,6.7003427
-10.316914,0.027579926,6.882294
-10.776581,-0.5996739,6.9541173
-11.183578,0.53034073,6.6141553
-11.772526,0.57822263,5.3692236
-12.409356,-0.33632308,4.74197
-12.806776,0.0898265,4.823369
-13.170679,0.7266568,5.575116
-13.137162,0.65483385,4.6509943
-12.98394,0.49203506,3.8130593
-12.840294,0.7936915,4.138657
-12.591307,0.67398655,4.7850637
-12.260922,0.7266568,4.74197
-11.834772,0.65004563,4.756335
-11.379893,0.12334388,5.081932
-10.537171,0.36754194,5.120238
-9.98174,0.24304882,5.0244737
-9.565167,0.38669476,4.1961155
-9.373639,0.48724684,4.0716224
-8.957065,0.11855567,3.8848825
-8.937913,0.0850383,3.4587328
-9.177323,0.96127844,2.8889375
-9.550802,1.5502268,3.4012744
-9.603472,1.459251,3.8417888
-9.814153,1.1336535,3.67899
-10.43183,1.1671709,3.530556
-10.790945,1.72739,3.8561532
-11.298494,1.2677232,4.425949
-11.6288805,0.78890336,4.3828554
-12.232193,0.42021212,4.823369
-12.74453,0.83199716,4.4451017
-12.90254,1.119289,4.459466
-12.629613,0.7984798,4.9382863
-12.548214,-0.3219585,5.9629602
-12.878599,-1.4519731,6.5902143
-12.974363,-0.91569495,6.173641
-12.323168,-1.255657,6.369957
-11.710279,-1.3849384,7.624465
-11.322435,-1.8685462,8.615622
-10.350431,-2.3665187,8.218202
-9.440673,-2.6250815,7.9069686
-8.755961,-3.0847485,8.237353
-8.344176,-1.9307928,8.443247
-7.6211586,-1.0401882,7.84951
-6.3044043,-1.1551049,6.705131
-5.0834136,-1.4280322,5.508082
-4.537559,-1.1503167,5.5032935
-3.651743,0.15207306,5.5272346
-2.1051548,1.5262858,4.526501
-1.3246785,0.0706737,4.943074
-1.9615089,-1.6435009,5.421894
-1.3677723,-0.20225355,4.526501
-0.05580631,1.5023447,5.2782483
0.8683158,1.5550148,5.9725366
0.920986,-0.22619453,6.3603806
1.2848891,-0.77204907,6.3364396
2.089306,-0.039454848,6.456145
2.376598,0.9947959,6.6764016
2.2473166,0.7697506,7.39942
2.0701535,-0.38420507,8.409729
2.0797298,-1.1503167,8.572528
2.1898582,-0.25492373,8.352271
2.1563408,0.38669476,8.821514
2.4675736,-0.15437157,9.252452
2.4292681,-0.3219585,9.616355
2.1994348,-0.81993103,9.884494
2.089306,-0.479969,9.889281
2.2185874,0.013215341,9.57326
2.0222714,0.01800353,9.760001
2.0079067,-0.3219585,9.9275875
2.2473166,-0.5326392,9.769577
2.3718097,-0.36505225,9.554108
2.1707053,-0.09212501,9.477497
