x,y,z
-0.010873391,-0.012774709,-0.06546179
-0.01576031,-0.0017791435,-0.06790525
-0.004764744,0.005551233,-0.066683516
-0.012095121,0.007994692,-0.058131415
-0.030421063,0.005551233,-0.056909684
-0.021868955,0.0018860449,-0.066683516
-0.01331685,0.0018860449,-0.066683516
1.2217369E-4,-5.57414E-4,-0.072792165
0.012339468,-0.005444332,-0.0740139
-0.0059864735,-0.011552979,-0.0740139
-0.019425496,-0.011552979,-0.072792165
-0.03652971,-0.005444332,-0.07034871
-0.032864522,-0.016439896,-0.072792165
-0.009651662,-0.015218168,-0.06790525
-0.009651662,-0.007887791,-0.06301833
-0.043860085,-0.020105084,-0.058131415
-0.032864522,-0.020105084,-0.06424006
0.011117739,-0.012774709,-0.0740139
0.0025656326,-0.015218168,-0.06301833
-0.010873391,-0.022548543,-0.06301833
-0.0059864735,-0.027435461,-0.056909684
0.012339468,-0.027435461,-0.04713585
0.039217517,-0.022548543,-0.04224893
0.013561198,-0.011552979,-0.032475095
-0.030421063,-5.57414E-4,-0.031253368
-0.024312414,0.005551233,-0.0202578
1.2217369E-4,0.009216421,-0.011705696
0.0025656326,0.0067729624,5.115988E-4
-0.027977604,0.0067729624,-0.0019318601
-0.05607738,0.0031077743,-0.008040507
-0.041416626,-0.003000873,-0.008040507
-0.012095121,-0.0042226026,-0.006818778
-0.03164279,-0.012774709,-0.0055970484
-0.06218603,-0.018883355,0.004176787
-0.0817337,-0.039652757,0.013950623
-0.068294674,-0.05553524,0.028611373
-0.05852084,-0.0665308,0.03349829
-0.032864522,-0.08485674,0.024946187
0.0050090915,-0.1325042,0.032276563
0.05387827,-0.2033645,0.0835892
0.15161663,-0.41105852,0.22653154
0.66718644,-1.0891184,0.64069784
1.3525766,-2.160575,1.339527
0.37519312,-3.4482777,1.8392143
-1.6504344,-5.114717,2.081117
-2.852616,-7.337043,0.9974429
-3.0713055,-8.840991,-0.60057926
-3.0297668,-9.654663,-2.5064774
-2.3468199,-10.59906,-5.2272687
-1.4280796,-9.726746,-7.0623064
2.560867,-7.3028345,-4.847311
6.2443814,-4.329145,-2.1387367
4.322601,5.07695,1.7561368
-0.8929621,11.902753,4.8055735
-2.4604409,16.03342,5.3309174
2.6598272,13.780551,2.1727464
4.200428,12.860589,-0.6702178
3.5981154,10.073824,-2.0348897
1.0764658,5.0525155,-2.5186946
-1.0493435,1.7697285,-2.078872
-2.7194474,-0.44282347,-1.1686835
-2.8403988,-1.3542336,-0.7532954
-1.3401151,-1.3407947,-0.44175446
-0.05607738,-0.9425108,-0.24994294
0.3874104,-0.45992768,-0.11433097
0.36419755,-0.0579787,-0.122883074
0.3580889,0.2621144,-0.13387865
0.34709334,0.3745135,-0.09600502
0.47904012,0.35985276,-0.098448485
0.6293128,0.33053127,-0.14487422
0.6903993,0.28288382,-0.15342632
0.470488,0.22912772,-0.11921788
0.1381776,0.17537162,-0.0740139
0.09786052,0.15460221,-0.06424006
0.28600687,0.15582395,-0.078900814
0.4277275,0.16437605,-0.052022766
0.2823417,0.1704847,-0.011705696
0.0343306,0.1326111,0.0017333282
-0.038973168,0.13871974,5.115988E-4
0.07098248,0.12528072,0.013950623
0.1381776,0.12283726,0.0420504
0.029443681,0.119172074,0.048159044
-0.029199332,0.07396808,0.08236747
0.017226387,0.0031077743,0.104358606
-0.0059864735,-0.03843103,0.10069341
-0.06585122,-0.05064832,0.09214131
-0.101281375,-0.05064832,0.07992402
-0.038973168,-0.03476584,0.055489425
0.030665409,-0.00910952,0.0420504
-0.018203769,-0.005444332,0.046937317
-0.05852084,-5.57414E-4,0.056711156
-0.068294674,0.005551233,0.055489425
-0.03530798,0.0067729624,0.043272126
-0.041416626,-0.007887791,0.04082867
-0.08051197,-0.021326814,0.035941754
-0.03530798,-0.023770273,0.04571559
0.020891573,-0.031100648,0.04082867
0.036774058,-0.02865719,0.04571559
-0.010873391,-0.033544112,0.046937317
-0.06340776,-0.042096216,0.05915461
