x,y,z
-0.03652971,-0.018883355,-0.033696827
0.0013439031,-5.57414E-4,-0.031253368
0.00867428,0.010438151,-0.0202578
-0.016982038,0.016546799,-0.012927425
-0.030421063,0.026320634,-0.009262237
-0.018203769,0.029985823,-0.009262237
-0.01331685,0.022655446,-7.1013067E-4
-0.016982038,0.018990258,0.012728893
-0.03652971,0.0153250685,0.022502728
-0.043860085,0.009216421,0.021281
-0.03408625,0.017768528,0.007841975
-0.040194895,0.0067729624,0.012728893
-0.029199332,-0.0017791435,0.01761581
-0.010873391,-0.0017791435,0.016394082
-0.021868955,6.643154E-4,0.007841975
-0.03408625,0.0043295035,0.0029550577
-0.03408625,0.01288161,-0.004375319
-0.009651662,0.026320634,-0.016592614
0.012339468,0.036094468,-0.037362013
-0.0059864735,0.044646572,-0.055687957
-0.023090687,0.044646572,-0.0617966
0.0050090915,0.0373162,-0.055687957
0.011117739,0.022655446,-0.043470662
-0.03652971,0.0018860449,-0.021479532
-0.048747003,-0.007887791,-0.010483966
-0.021868955,-0.016439896,-0.015370884
-0.043860085,6.643154E-4,-0.021479532
-0.018203769,-0.0017791435,-0.04713585
-0.052412193,-0.024992002,-0.030031636
-0.22834122,-0.25223368,0.024946187
-0.2967581,-0.6578478,0.12390628
-0.18313724,-1.0585752,0.22286636
-0.1318246,-1.5118368,0.2705138
-0.26132792,-2.2033355,0.30472222
-0.4836827,-2.977912,0.31693953
-0.52644324,-3.6926236,0.36458698
-0.3138623,-4.3792357,0.3743608
0.17238604,-4.998653,0.36336523
0.44727516,-5.3297415,0.3206047
-0.1403767,-5.3529544,0.13245837
-0.7988889,-5.381054,-0.18030436
-0.33585343,-5.2979765,-0.6543354
0.9274148,-4.808063,-0.9768719
1.9451154,-4.19842,-1.1430272
2.1943483,-3.6608586,-1.1589097
1.5920357,-3.1196325,-1.112484
0.7417119,-2.5075462,-1.0575061
0.34342816,-1.8380386,-0.94877213
0.45827073,-1.1294354,-0.77406484
0.6085434,-0.38784567,-0.53704935
0.16749911,0.40139157,-0.19252166
-0.7158113,1.388549,0.23874885
-1.5465873,2.567518,0.64436305
-1.9143279,3.8381166,1.019434
-1.9583101,5.036633,1.3248663
-2.3297157,6.3561006,1.6009772
-2.4091282,7.625478,1.7585802
-1.6211128,8.4403715,1.5398906
0.49003568,8.952276,1.1965847
3.2401488,8.461141,0.9791169
2.5229936,6.6065555,-0.5810316
-0.48734787,4.530837,-0.8522555
-0.8941838,2.41358,-0.53460586
0.691621,1.098999,-0.15220459
0.76492476,0.08129846,0.47209916
-0.5386605,-0.65906954,0.8447267
-0.9186184,-0.9254066,0.8801568
-0.23444988,-0.66273475,0.6064894
0.46437937,-0.24734676,0.17277545
0.44605342,-0.03476584,-0.07523563
0.00867428,0.059307326,-0.23894738
-0.08051197,0.14238493,-0.33790746
0.11618647,0.17537162,-0.37455934
0.17605121,0.17537162,-0.36356378
0.08808669,0.15215877,-0.29636866
-0.012095121,0.1118417,-0.1778609
-0.043860085,0.059307326,-0.092339836
-0.0035430146,0.025098905,-0.030031636
0.0758694,-0.013996438,0.009063705
0.18582505,-0.061643887,0.028611373
0.21148138,-0.07019599,0.021281
0.080756314,-0.049426593,0.004176787
-0.051190462,-0.03232238,0.012728893
-0.075625055,-0.024992002,0.004176787
-0.052412193,0.04953349,-0.017814342
-0.059742566,0.102067865,-0.021479532
-0.08051197,0.12528072,-0.012927425
-0.038973168,0.12161554,-0.015370884
0.074647665,0.1411632,-0.019036073
0.11129955,0.1411632,-0.027588177
0.0074525503,0.1118417,-0.036140285
-0.06585122,0.069081165,-0.031253368
-0.04996873,0.023877176,-0.019036073
-0.04996873,-0.017661626,-0.004375319
-0.040194895,-0.042096216,-0.006818778
-0.03408625,-0.06530907,-0.006818778
-0.016982038,-0.07996982,-0.006818778
0.009896009,-0.082413286,-0.0019318601
-0.0010995558,-0.082413286,0.0017333282
-0.007208203,-0.07141772,0.011507164
