x,y,z
0.0074525503,0.0031077743,0.007841975
-0.010873391,0.0043295035,0.004176787
-0.026755873,-0.011552979,0.0029550577
-0.0035430146,-0.023770273,0.007841975
0.009896009,-0.007887791,0.0029550577
-0.01453858,-0.007887791,0.0029550577
-0.0023212852,-0.018883355,-7.1013067E-4
0.035552327,-0.0066660615,-0.004375319
0.030665409,-0.005444332,-0.0031535896
0.0074525503,-0.016439896,-7.1013067E-4
0.016004656,-0.026213732,0.007841975
0.00867428,-0.031100648,0.015172352
-0.040194895,-0.053091783,0.022502728
0.0074525503,-0.03232238,0.04571559
-0.029199332,-0.022548543,0.0420504
-0.046303544,-0.022548543,0.03960694
0.006230821,-0.0066660615,0.04082867
0.009896009,0.0018860449,0.03960694
0.0013439031,6.643154E-4,0.035941754
0.018448114,-0.046983134,0.048159044
0.018448114,-0.09585231,0.0628198
-0.007208203,-0.1496084,0.05915461
0.047769625,-0.2363512,0.034720022
0.21636829,-0.42083234,0.060376342
0.25302017,-0.74336886,0.121462815
0.017226387,-1.0866749,0.18499275
-0.29309288,-1.4666327,0.33770892
-0.48734787,-1.9724288,0.3572566
-0.49101305,-2.4232469,0.33160028
-0.44947425,-2.8178654,0.36336523
-0.22223258,-3.3236613,0.3816912
0.100303985,-3.7805882,0.44155592
-0.03408625,-4.0994596,0.45499495
-0.599747,-4.315706,0.37313908
-0.6327337,-4.4219966,0.16177988
-0.048747003,-4.3486924,-0.2523864
0.5083616,-4.07136,-0.49917576
0.5951044,-3.8025794,-0.6836569
0.57311326,-3.673076,-0.95610255
0.81745917,-3.564342,-1.1589097
1.3122596,-3.2931182,-1.2627567
1.4063327,-3.0622113,-1.4044772
1.0630268,-3.0133421,-1.3959252
0.87610215,-2.9180472,-1.2566481
1.4124414,-2.8862822,-1.2590915
1.9927629,-2.6358278,-1.2603133
1.81000,-2.4818897,-1.0721669
1.1876432,-2.5955107,-0.87058145
1.4258804,-2.327952,-0.7997212
1.6250223,-1.579032,-0.7997212
1.2743859,-0.95717156,-0.64211804
0.45582727,-0.5100186,-0.5223886
0.025778491,-0.23757294,-0.439311
0.19804235,0.14238493,-0.20840414
-0.008429932,0.5431122,0.012728893
-0.586308,0.765467,0.2998353
-0.72191995,0.973161,0.60771114
-0.65472484,1.4019879,0.88504374
-1.1067647,1.9994136,1.054864
-1.6638733,2.5320878,1.240567
-1.6040086,2.8729503,1.4971302
-1.0664476,3.249243,1.4971302
-1.105543,3.8869858,1.3321967
-1.4109753,4.5320587,1.4128308
-0.8428712,4.679888,1.5667688
-0.18069378,4.892469,0.99866456
0.30921972,5.447134,0.50386417
0.13084723,5.900396,0.2375271
0.0013439031,5.5583115,0.013950623
-0.55942994,5.2748704,-0.5920271
-0.6278468,5.1307063,-0.68243515
0.23225078,4.6310186,-0.4796281
0.41306672,3.989611,-0.8046081
-0.346849,3.5534537,-0.96831983
-0.5875297,2.946254,-0.6714396
0.21025965,2.1325822,-0.31591633
0.65496916,1.4630744,-0.18519127
0.26279402,0.98415655,-0.092339836
-0.2967581,0.5932031,-0.02270126
-0.3969399,0.3745135,-0.072792165
-0.09150754,0.35863104,-0.2145128
0.18949024,0.37940043,-0.29636866
0.07220421,0.36840487,-0.25849503
-0.13793325,0.3158705,-0.23406047
-0.1770286,0.27188826,-0.1778609
-0.22589777,0.11550689,-0.05446623
-0.26743656,-0.13006073,0.031054836
-0.076846786,-0.1984776,0.10802379
0.024556763,-0.19236894,0.15444951
-0.04996873,-0.1410563,0.116575904
-0.095172726,-0.09463058,0.11291071
-0.10983348,-0.06775253,0.09824996
-0.12449423,-0.045761403,0.043272126
-0.12205077,-0.011552979,0.029833104
-0.120829046,-0.046983134,0.043272126
-0.004764744,-0.087300204,0.0420504
0.13084723,-0.100739226,0.015172352
0.1259603,-0.11417825,-7.1013067E-4
0.08808669,-0.09707404,-0.008040507
0.09175188,-0.05675697,-0.028809909
