x,y,z
-0.17551126,-1.0258235,9.60199
-0.13241749,-1.0641291,9.63072
-0.17551126,-0.81993103,9.621142
-0.21381684,-0.867813,9.640296
-0.19945227,-0.9204832,9.764789
-0.17551126,-1.0306118,9.779154
-0.26169884,-1.0737056,9.73606
-0.2808516,-1.1167992,9.774364
-0.27127522,-1.1551049,9.745636
-0.15635847,-1.2221396,9.750423
-0.14678209,-1.1407403,9.779154
-0.31915718,-1.1455284,9.850977
-0.35746276,-1.08807,9.745636
-0.33830994,-1.0210353,9.6929655
-0.34309816,-0.867813,9.712119
-0.27606338,-0.867813,9.726482
-0.19466408,-0.9109068,9.582838
-0.13241749,-0.87260115,9.578049
-0.14678209,-0.8630248,9.511015
-0.14199388,-0.92527133,9.645083
-0.19466408,-0.93005955,9.592414
-0.37182736,-0.96836513,9.606779
-0.20424043,-0.9635769,9.592414
-0.16114669,-1.0018826,9.606779
-0.36703914,-1.059341,9.774364
-0.43886214,-1.0497645,9.716907
-0.41492116,-0.9875179,9.606779
-0.29042798,-0.9204832,9.697754
-0.4005565,-1.0689173,9.774364
-0.32873356,-1.1455284,9.6929655
-0.37182736,-1.0162472,9.63072
-0.37182736,-1.1072229,9.659449
-0.22339322,-1.0976465,9.654661
0.011228442,-1.2173513,9.640296
-0.113264695,-1.1215875,9.68339
-0.14199388,-1.0162472,9.860000
-0.113264695,-1.0258235,9.707331
-0.05580631,-1.0162472,9.578049
0.16445076,-0.9109068,9.702541
-0.16593488,-0.87260115,9.5876255
-0.05580631,-0.6906497,9.266817
-0.30479258,-0.59488577,9.57326
-0.5298379,-1.5668899,9.965893
-0.39098018,-2.998561,9.539743
-0.42449754,-4.315315,10.104751
-0.72136575,-3.8843775,10.827768
0.22190914,-0.27407652,7.6723466
1.1364549,-2.2803311,5.2399426
0.93535054,-4.5212073,0.52356786
0.6049649,-6.704626,-4.9876475
3.5353417,-6.4269104,-17.40823
-1.3725606,-19.479536,-16.26864
5.110659,-13.968321,-13.553733
0.27457932,-5.105368,-7.2428885
0.4996246,-0.2692883,-8.96664
1.2274307,2.771217,-2.181764
-5.7872787,-12.263723,13.8539095
-4.2119617,-1.6530774,12.647284
3.5305533,0.44894132,7.6675587
8.500703,1.1384418,2.2999892
-1.3055258,6.3958826,8.323542
-5.868678,2.0865047,13.255384
-2.5648217,0.31487176,11.244342
-0.5537789,-1.6004072,12.398297
-0.7357304,-2.002616,11.636973
-0.27606338,0.31487176,10.1143265
0.11656879,1.0905597,8.390575
-0.35267454,0.82720894,8.074555
-0.5489907,1.0522543,8.471975
-0.80276513,1.119289,9.056136
-1.3294668,0.57822263,10.166998
-1.5305711,0.33881274,10.526112
-0.96556383,0.78890336,9.860553
-0.7357304,0.70750403,9.702541
-1.0278103,0.58301085,9.60199
-1.1475153,0.20953143,9.4583435
-0.88895273,0.4585177,9.453556
-0.84585893,0.30529538,9.420039
-0.726154,0.94691384,10.387255
-1.090057,0.9995841,10.152633
-1.0038693,0.779327,9.280000
-0.8697999,0.5111879,9.606779
-0.8362825,0.80326796,9.491861
-0.77403593,1.0809834,9.329062
-0.88895273,0.6979276,9.065712
-0.77403593,0.5877991,9.156688
-0.72136575,0.8750909,9.592414
-0.88895273,0.7410214,9.712119
-0.9559875,0.53034073,9.525379
-0.96556383,0.20953143,9.640296
-0.9559875,0.60695183,9.980258
-1.1475153,0.7410214,10.176574
-0.9847166,0.8367853,9.807882
-0.8123415,0.7649623,9.544532
-0.8362825,0.6021637,9.367369
-0.8841645,0.75538594,9.319487
-0.89852905,0.6452574,9.4583435
-0.90810555,0.55428165,9.539743
-0.80755335,0.47767052,9.558897
-0.79318875,0.271778,9.424827
