x,y,z
1.165184,-0.25492373,9.764789
1.2561598,-0.24534735,9.673813
1.4189585,-0.111277804,9.611567
1.2130661,-0.06339583,9.578049
1.1891251,-0.1304306,9.611567
1.2801008,-0.25013554,9.558897
1.356712,-0.16394797,9.554108
1.2274307,-0.1304306,9.578049
1.1316668,-0.2788647,9.621142
1.237007,-0.24534735,9.625931
1.2848891,-0.044243038,9.707331
1.1220903,-0.111277804,9.793518
1.1125139,-0.10170141,9.649872
1.1987014,-0.10170141,9.779154
1.3327711,0.0706737,9.793518
1.3471355,0.21431962,9.716907
1.2657363,0.013215341,9.726482
1.2896771,-0.111277804,9.769577
1.2417953,-0.111277804,9.606779
1.1077257,0.11855567,9.4583435
1.1747605,-0.034666643,9.515802
1.2561598,-0.16394797,9.654661
1.30883,-0.3267467,9.649872
1.2705244,-0.18788897,9.669024
1.3375592,-0.0059374645,9.68339
1.208278,-0.07776043,9.5876255
1.1412431,0.0898265,9.640296
1.3806529,0.046732716,9.477497
1.2992537,0.022791736,9.549319
1.1508195,0.18080226,9.38652
1.4141703,0.4297885,9.046558
1.4716287,0.1903786,9.008254
1.3279828,-0.5326392,9.161476
1.1603959,-1.1742576,8.922066
0.8204338,-2.5101647,9.01783
0.6911525,-3.3145819,8.668292
0.62411773,-3.731155,8.864608
0.4421662,-4.339256,8.950795
0.6719997,-4.889899,8.9077015
0.7964928,-5.469271,8.084131
0.8204338,-6.5514035,6.1880054
0.5235656,-8.624693,5.3021894
0.58102393,-9.587121,5.6804566
0.64805865,-7.7293,4.464255
0.16445076,-8.327825,2.424482
0.06868681,-8.988596,0.059112735
0.6624233,-9.673308,-1.2289125
1.208278,-10.487302,-2.9335108
1.0837847,-10.83684,-2.9718163
1.01675,-11.751386,-3.5128825
1.237007,-9.630214,-4.5998034
1.0885729,-8.227272,-4.829637
0.920986,-9.357287,-5.0403175
1.1939133,-10.539972,-5.088199
1.1747605,-9.012537,-4.633321
1.0598437,-8.442741,-5.16481
1.2226424,-9.515298,-5.854311
1.3375592,-10.377173,-6.0123215
1.2609481,-8.562446,-4.6381087
0.81564564,-9.065207,-5.11214
0.849163,-10.559125,-6.333131
1.2561598,-13.206998,-6.6156344
1.4476877,-13.192633,-4.973283
0.9592915,-12.823942,-3.6086466
0.16445076,-8.73961,-0.90810317
-0.007924348,-4.2961626,0.69115484
3.0900395,1.5645914,3.0565243
2.42448,11.208021,8.946007
1.5147226,6.940000,8.3331175
0.049534023,1.5693796,4.3828554
2.4771502,1.0522543,6.8152595
2.1323998,-5.0479093,11.220401
-0.1036883,-1.2173513,13.217079
0.8587394,1.8614596,11.359259
1.7014621,2.330703,10.004199
0.6289059,1.3491224,9.032195
0.17402714,0.2861426,9.266817
0.58581215,-0.3602641,10.229243
1.2609481,-0.02030205,10.210091
1.553028,0.5111879,9.721695
1.2274307,0.5638581,9.295546
0.80128103,0.2574134,9.20457
0.9018332,-0.09691321,9.453556
1.1795486,-0.15437157,9.654661
1.1747605,-0.3458995,9.6929655
1.1747605,-0.19267716,9.568473
1.1220903,0.003638938,9.755213
1.0406909,-0.025090255,9.779154
1.0359027,-0.23577094,9.807882
1.2274307,-0.116066,9.817459
1.1460313,-0.106489606,9.280000
0.96407974,-0.1208542,9.860553
1.165184,-0.19746536,9.63072
1.1891251,-0.111277804,9.645083
0.9880207,-0.22619453,9.707331
1.0646319,-0.25013554,9.611567
1.3040417,-0.26450014,9.611567
1.2274307,-0.13521878,9.582838
1.093361,-0.23098275,9.606779
1.0359027,-0.20225355,9.645083
