x,y,z
0.037087124,0.038828086,-0.012667807
0.017539453,0.024167335,-0.0065591596
0.0077656177,0.013171771,-0.007780889
-0.014225512,0.0143935,-0.012667807
-0.03499491,0.0070631234,-0.007780889
-0.02033416,0.0070631234,-0.007780889
0.0077656177,0.008284853,-0.00533743
0.021204641,0.013171771,-0.00533743
0.032200206,0.018058687,-0.0090026185
0.021204641,0.0143935,0.008101594
4.3524115E-4,0.008284853,0.0044364054
-0.005673406,0.008284853,0.0044364054
-0.005673406,0.010728312,0.009323323
-0.013003782,0.013171771,0.008101594
-0.030107995,0.0156152295,0.021540616
-0.02155589,0.019280417,0.030092724
0.017539453,0.026610794,0.03131445
0.013874265,0.030275982,0.026427533
-0.030107995,0.027832523,0.01787543
-0.02155589,0.025389064,0.023984078
0.010209077,0.026610794,0.026427533
-0.0068951356,0.020502146,0.032536183
-0.032551453,0.010728312,0.0374231
-0.02155589,0.009506582,0.03131445
-0.014225512,-0.00759763,0.021540616
-0.008116865,-0.019814925,0.0068798643
0.0028787,-0.045471244,-0.0065591596
0.029756747,-0.060131997,-0.0016722418
-0.009338594,-0.06501891,0.0044364054
-0.581108,0.06937133,-0.0065591596
-1.4289882,0.074258246,0.011766782
-1.885915,0.07914516,0.011766782
-1.4876313,0.0143935,0.030092724
-0.9549572,0.0351629,0.1205007
-1.5841479,0.118240505,0.10583995
-3.6562011,0.18177044,-0.04687623
-7.03917,0.20131811,-0.23135738
-12.127673,0.018058687,-0.652854
-18.75922,-0.43886814,-1.0462509
-22.702963,-0.31425172,-1.1708673
-20.024931,0.040049817,-1.2954837
-10.451461,-0.03081049,-1.280823
-0.24879757,0.2220875,-1.0267032
2.4561114,0.14878374,-0.28877866
0.06396517,-0.16764419,0.053305585
1.9906324,-0.4046597,0.29765147
8.618514,-0.23117411,1.1601925
18.347147,-1.0020853,3.1821547
28.668318,-1.5665244,4.154651
23.982985,-1.0069723,0.6104142
15.169428,-1.2525399,-1.8977963
7.267282,-1.0900499,-0.8263396
1.5691358,-0.5866974,0.25977787
1.2783642,-0.12488365,0.3025384
2.322943,0.5470675,0.52122796
1.4713974,0.67779255,0.08629228
0.25333324,0.5837194,-0.11773653
-0.44793946,0.32471278,-0.37063453
-0.77536297,0.08403208,-0.38040835
-1.0294827,0.074258246,-0.28144827
-1.0697998,0.09136246,-0.0065591596
-0.581108,0.008284853,0.11072686
0.3339674,-0.024701843,0.21579559
0.58564365,-0.041806053,0.1828089
0.019982912,-0.049136434,0.1205007
-0.3990703,-0.07845794,0.03986656
-0.15228093,-0.095562145,0.01909716
0.31075454,-0.109001175,-0.0456545
0.5123399,-0.1102229,-0.055428337
0.24966806,-0.07479274,-0.05298488
-0.15350266,-0.036919136,-0.011446077
-0.2793408,-0.028367031,-0.0090026185
-0.13762018,-0.036919136,-0.030993748
0.033421937,-0.047914702,-0.02855029
0.04686096,-0.05157989,-0.035880666
-0.08019891,-0.061353724,-0.057871796
-0.2549062,-0.05891027,-0.08597158
-0.35508803,-0.038140867,-0.1079627
-0.26468003,-0.0063759005,-0.114071354
-0.08875101,0.024167335,-0.10674098
0.030978477,0.044936735,-0.1079627
0.07618246,0.066927865,-0.09941059
0.057856526,0.06448441,-0.1079627
0.028535018,0.046158466,-0.10429752
-0.0068951356,0.044936735,-0.096967146
-0.08142064,0.018058687,-0.095745414
-0.12418117,-0.014928007,-0.096967146
-0.07409026,-0.032032218,-0.082306385
-0.044768747,-0.027145302,-0.07741947
-0.044768747,-0.028367031,-0.07864119
0.008987348,-0.027145302,-0.07131082
0.079847656,-0.010041089,-0.05298488
0.08839976,-0.0027107124,-0.037102394
0.06763036,-0.0014889829,-0.02855029
0.079847656,-0.0027107124,-0.024885101
0.08839976,0.0021762054,-0.00533743
0.071295545,9.54476E-4,0.008101594
0.06763036,-0.005154171,0.021540616
0.02486983,0.0033979348,0.026427533
-0.06553815,0.0046196645,0.03131445
