x,y,z
-0.0068951356,-0.0039324416,0.003214676
0.0028787,-0.00759763,-0.007780889
-0.005673406,-0.012484548,-0.0041157007
-0.036216643,-0.014928007,-0.0041157007
-0.042325288,-0.014928007,-0.0090026185
-0.027664537,-0.008819359,-0.016332995
-0.009338594,-0.0014889829,-0.015111266
0.016317723,0.0021762054,-0.017554725
0.039530586,0.008284853,-0.016332995
0.0236481,0.0033979348,-0.010224348
-0.014225512,-2.6725343E-4,-0.00533743
-0.013003782,9.54476E-4,-0.00533743
0.027313288,9.54476E-4,-0.0016722418
0.032200206,9.54476E-4,-4.505124E-4
-0.02155589,0.0046196645,0.003214676
-0.05332085,0.008284853,0.0068798643
-0.0032299473,0.019280417,0.005658135
0.04808269,0.024167335,7.7121705E-4
0.03464367,0.021723876,0.005658135
0.012652536,0.020502146,0.01543197
0.029756747,0.027832523,0.016653698
0.06274344,0.019280417,0.0129885115
0.057856526,0.005841394,-0.0065591596
0.02242637,-0.017371466,-0.012667807
-0.014225512,-0.035697408,-0.021219913
-0.03499491,-0.05035816,-0.02610683
-0.044768747,-0.05035816,-0.035880666
-0.054542582,-0.0393626,-0.039545856
-0.050877396,-0.014928007,-0.04198931
4.3524115E-4,-0.011262818,-0.035880666
0.07007382,-0.013706277,-0.019998183
0.037087124,-0.025923572,0.005658135
-0.09119447,-0.03325395,0.0129885115
-0.15961131,-0.0027107124,0.01909716
-0.11807252,0.0156152295,0.023984078
-0.3587532,0.08525381,0.027649265
-1.5389439,0.23919173,-0.021219913
-3.4985979,0.39068618,-0.07864119
-5.5767593,0.3662516,-0.1287321
-7.3812537,0.24774383,-0.1910403
-8.613979,0.081588626,-0.25212678
-10.34517,-0.010041089,-0.36208242
-13.112387,-0.2348393,-0.68706244
-15.874718,-0.42909428,-0.67362344
-16.552776,-0.4804069,-0.42683408
-13.720808,-0.4376464,-0.43782964
-8.208365,-0.32036036,-0.43905136
-2.8132076,-0.32769075,-0.2777831
-0.54689956,-0.2592739,0.08751401
-1.1919727,-0.08090139,0.16326123
-1.1785337,-2.6725343E-4,0.22801289
-0.17549379,0.06937133,0.24633883
0.5160051,0.11457532,0.22190425
0.9301714,0.08769727,0.21335213
1.8122599,0.042493276,0.17181334
3.044985,-0.011262818,0.1290528
4.4340916,-0.023480114,0.18769582
6.350985,0.024167335,0.31597742
9.835357,0.044936735,0.6311836
15.203636,-0.2714912,0.8547601
20.106438,-0.6575577,0.35507277
23.517506,-0.85792136,-0.13850594
23.038588,0.098692834,0.1082834
15.010603,0.39679483,0.42471135
1.9087765,0.51896775,-0.5050248
-5.316531,0.38824272,-0.48792055
-5.420378,0.7022272,-0.19714896
-1.1064516,0.69000983,-0.40484294
2.187331,0.36991677,-0.2606789
2.0431669,0.15855758,0.048418667
-0.08630755,0.044936735,0.07163152
-1.6928818,-0.05402335,0.032536183
-1.5328352,-0.11144463,0.016653698
-0.35264456,-0.1517617,0.048418667
0.5465483,-0.13221402,0.10217476
0.4097146,-0.10655771,0.09728785
-0.19748493,-0.08578831,0.07163152
-0.4699306,-0.056466807,0.041088287
-0.30377537,-0.038140867,0.021540616
-0.04110356,-0.041806053,0.003214676
0.096951865,-0.045471244,-0.0090026185
0.030978477,-0.025923572,-0.012667807
-0.12906808,-0.022258384,-0.02610683
-0.2292499,-0.028367031,-0.02732856
-0.25124103,-0.038140867,-0.021219913
-0.20848049,-0.036919136,-0.010224348
-0.1840459,-0.03325395,0.0068798643
-0.18526763,-0.027145302,0.0129885115
-0.115629055,-0.023480114,0.01543197
-0.014225512,-0.018593196,0.010545053
0.018761182,-0.008819359,0.01543197
-0.028886266,-0.005154171,0.021540616
-0.08264236,-0.0014889829,0.014210241
-0.08142064,0.005841394,-0.0028939713
-0.023999348,-0.0063759005,-0.0041157007
-0.0044516767,-0.012484548,0.0019929465
-0.06431642,-0.008819359,0.003214676
-0.10829868,-0.0027107124,0.003214676
-0.078977175,-2.6725343E-4,-4.505124E-4
-0.03988183,0.009506582,-0.0065591596
