x,y,z
-0.0068951356,0.020502146,0.005658135
0.0077656177,0.021723876,0.0068798643
-0.013003782,0.016836958,-0.0016722418
-0.017890701,0.0156152295,-0.00533743
0.0077656177,0.013171771,-4.505124E-4
0.0041004294,0.009506582,-0.0028939713
-0.025221078,0.008284853,0.011766782
-0.04110356,0.0046196645,0.01909716
-0.03499491,0.010728312,0.016653698
-0.049655665,0.024167335,0.01787543
-0.09485966,0.029054252,0.028870996
-0.34775764,0.074258246,0.021540616
-0.75337183,0.07181479,0.0068798643
-1.1431036,0.081588626,0.008101594
-1.4265448,0.10357975,0.003214676
-1.8333807,0.13290125,-0.011446077
-2.3978198,0.08281035,-0.018776454
-2.8107643,0.029054252,-0.019998183
-2.9366024,0.005841394,-0.022441642
-2.8058774,-0.040584326,-0.029772019
-2.6055138,-0.06624064,-0.015111266
-2.5383186,-0.06257545,-0.018776454
-2.5981834,-0.06990583,-0.043211043
-2.8632987,-0.056466807,-0.039545856
-3.2701344,-0.03081049,-0.08352812
-3.6122189,-0.035697408,-0.07497601
-3.7405005,-0.043027785,-0.043211043
-3.512037,-0.06746237,-0.044432774
-3.254252,-0.09678388,-0.035880666
-3.4057465,-0.09922734,-0.11284962
-3.9420857,-0.115109816,-0.15072323
-4.2915,-0.14931825,-0.059093524
-4.09358,-0.19207877,-0.02610683
-3.6684184,-0.20918298,-0.10918443
-3.2884605,-0.1969657,-0.1372842
-3.2664692,-0.20918298,-0.1617188
-3.4546156,-0.23361757,-0.15438843
-3.6977398,-0.22506547,-0.14583632
-3.9396422,-0.1969657,-0.18126647
-4.071589,-0.20429607,-0.19959241
-4.0129457,-0.1896353,-0.1617188
-3.3874207,-0.16275726,-0.08352812
-2.3990414,-0.14198786,-0.08719331
-1.6391257,-0.11877501,-0.08719331
-1.276272,-0.094340414,-0.03465894
-1.0258175,-0.08578831,-0.011446077
-0.7924672,-0.0686841,-0.0016722418
-0.6165381,-0.06257545,0.0068798643
-0.42961353,-0.05524508,0.0129885115
-0.24391064,-0.041806053,0.009323323
-0.10952041,-0.028367031,-0.007780889
-0.0716468,-0.017371466,-0.015111266
-0.03743837,-0.00759763,-0.02855029
0.06640863,0.0021762054,-0.023663372
0.20812926,-0.011262818,-0.032215476
0.18369466,-0.00759763,-0.035880666
0.13482548,-0.0039324416,-0.030993748
0.15437315,0.011950041,-0.022441642
0.34984988,0.021723876,-0.023663372
0.64917356,0.031497713,-0.02732856
0.79333764,0.04127155,-0.068867356
0.56853944,0.05715403,-0.05298488
0.55143523,0.06326268,-0.012667807
1.3308985,0.055932302,0.03620137
2.4243464,0.051045384,0.03986656
3.30277,0.13534471,0.078961894
3.6338584,0.17688352,0.078961894
3.415169,0.22453097,0.03986656
3.0339894,0.25873938,0.025205806
3.82000,0.2550742,0.076518446
4.0956726,0.18787909,0.025205806
5.325954,0.16588795,-4.505124E-4
6.2593555,0.1426751,-0.038324125
6.836012,0.11579704,-0.11651482
6.9190893,0.12190569,-0.12995383
6.7016215,0.0974711,-0.1531667
6.5061445,0.08403208,-0.15438843
6.536688,0.03760636,-0.08597158
6.501258,0.027832523,-0.10307579
6.0809827,0.10602321,-0.24479641
5.1524687,0.13290125,-0.28267
3.984495,0.18543562,-0.2948873
2.656475,0.21597886,-0.2741179
1.6424396,0.20864849,-0.25212678
1.1415305,0.20864849,-0.17637956
0.91062367,0.2135354,-0.15561016
0.8837456,0.17932698,-0.12995383
0.91306716,0.118240505,-0.068867356
0.8813022,0.1096884,-4.505124E-4
0.6100782,0.11457532,0.04964039
0.14093414,0.09502765,0.08629228
-0.2634583,0.098692834,0.093622655
-0.3172144,0.081588626,0.08629228
-0.038660098,0.066927865,0.0997313
0.24966806,0.06570614,0.08507055
0.20446406,0.058375757,0.05697077
-0.10707695,0.03760636,0.042310018
-0.33554035,0.022945605,0.014210241
-0.15716785,0.021723876,-0.007780889
0.13849068,0.024167335,-0.011446077
