x,y,z
0.23627374,0.8990319,9.827036
0.22669734,0.8511499,9.769577
0.33682588,0.6691984,9.611567
0.4661072,0.98521936,9.530167
0.21712095,0.86072636,9.7983055
0.21712095,0.8176325,9.664237
0.32246128,0.6979276,9.534956
0.37991965,0.9564903,9.621142
0.21712095,1.0378896,9.750423
0.11178059,0.88945556,9.597201
0.35597867,0.86072636,9.635508
0.2889439,0.951702,9.769577
0.030381233,0.70750403,9.78873
0.21712095,0.7984798,9.578049
0.35597867,0.74580956,9.554108
0.15487437,0.9564903,9.6929655
0.15966256,0.8367853,9.73606
0.2506383,0.8224207,9.640296
0.3176731,0.73144495,9.625931
0.14050978,0.9564903,9.640296
0.23627374,0.9708549,9.568473
0.413437,0.779327,9.582838
0.3033085,0.8559381,9.558897
0.12614518,0.7505978,9.463133
0.35597867,0.8990319,9.319487
0.39428425,1.0378896,9.511015
0.25542653,0.78890336,9.68339
0.49004817,0.7649623,9.477497
0.16923895,0.75538594,9.707331
0.26021472,0.94691384,9.73606
-0.098900095,0.951702,9.520591
0.3894961,0.8990319,9.716907
0.509201,0.7505978,9.812671
0.21712095,1.3491224,10.1382675
-0.46280313,1.0905597,9.740848
0.6672115,4.3848395,9.49665
5.412315,22.029348,9.846188
-1.4874773,5.002517,-16.527203
-4.068316,-24.67952,-10.489286
12.178038,-32.43161,-8.684136
3.4491541,-5.7996564,-12.122063
-6.878988,1.8135777,-12.907327
-2.5648217,5.7590528,-14.396457
4.7132382,-9.711614,7.523913
5.144176,-23.176025,13.499582
-0.30000442,-7.054164,2.8554199
-1.3246785,-12.594109,5.455412
-3.5033085,-2.567623,11.421505
-0.99429303,1.1001362,1.572183
2.7692301,7.5115323,14.361459
1.720615,-4.0280232,10.708064
2.405327,-5.402236,7.600524
1.7924379,0.93254924,6.432204
0.3080967,1.4784038,9.194994
0.2889439,2.6802413,9.903646
0.5139892,1.4975566,10.200515
0.43737805,0.8367853,10.08081
-0.007924348,0.01800353,9.501438
-0.40534478,-0.61882675,9.716907
0.106992394,-0.7768372,9.879705
0.45174265,-0.95878875,9.989834
0.3990724,-2.2324493,10.32022
0.60975313,-2.1079562,9.9275875
0.95450336,-1.3466327,9.635508
0.96407974,-0.8869658,9.635508
0.58102393,-0.6427677,9.669024
0.59538853,-0.6810733,9.961104
0.7821282,-0.83429563,9.980258
0.85395116,-0.9635769,9.443979
0.82522196,-1.011459,9.262028
0.94013876,-0.47518083,9.238087
0.8922568,-0.3458995,9.453556
0.9449269,-0.56136835,9.731272
0.7821282,-0.93005955,9.453556
0.81564564,-0.8965422,9.271605
0.8347984,-0.6714969,9.285969
0.73424625,-0.40335786,9.525379
0.58102393,-0.3602641,9.721695
0.6624233,-0.38899326,9.812671
0.6432705,-0.21182996,9.817459
0.68157613,-0.3123821,9.783941
0.65284693,-0.24534735,9.860553
0.6672115,-0.20225355,9.140000
0.75818723,-0.19267716,9.760001
0.8922568,-0.19267716,9.640296
0.8300102,-0.106489606,9.57326
0.75818723,-0.43208703,9.582838
0.8204338,-0.82471925,9.525379
0.89704496,-0.73853165,9.707331
0.80606925,-0.59488577,9.889281
0.45174265,-0.18310076,9.836612
0.4661072,-0.26450014,9.731272
0.60975313,-0.35547587,9.592414
0.6049649,-0.3458995,9.669024
0.5235656,-0.3171703,9.836612
0.57144755,-0.06339583,9.78873
0.67678785,-0.106489606,9.592414
0.7103052,-0.025090255,9.697754
0.44695443,-0.116066,9.774364
0.41822523,-0.2980175,9.760001
