x,y,z
0.7150935,0.67877483,9.760001
0.8587394,0.62131643,9.740848
0.68157613,0.55428165,9.673813
0.70551705,0.63568103,9.673813
0.7103052,0.659622,9.659449
0.7533991,0.5877991,9.635508
0.75818723,0.63568103,9.616355
0.72945803,0.65004563,9.549319
0.7917046,0.6165282,9.592414
0.80606925,0.5590699,9.6929655
0.8108574,0.5447053,9.621142
0.7103052,0.6404692,9.68339
0.6672115,0.58301085,9.760001
0.78691643,0.65483385,9.803095
0.7390344,0.6883512,9.755213
0.7103052,0.6165282,9.73606
0.61454135,0.6883512,9.688178
0.65284693,0.54949343,9.673813
0.81564564,0.75538594,9.554108
0.6863643,0.77453876,9.4583435
0.7150935,0.52555245,9.534956
0.8108574,0.6452574,9.621142
0.89704496,0.58301085,9.645083
0.6289059,0.58301085,9.688178
0.8204338,0.60695183,9.578049
0.6672115,0.62610465,9.645083
1.0789965,0.62131643,9.807882
0.68157613,1.0714071,9.855764
0.59538853,3.0537207,9.003466
1.2896771,3.1446965,9.032195
1.2896771,0.2861426,9.324275
0.5475066,-1.7871468,9.333851
0.54271835,4.6194615,6.9876347
0.07826321,-1.7344767,-1.9758713
-0.42928576,-17.377518,-4.786543
2.4388444,-22.400337,-2.6127017
1.2705244,-8.26079,-4.9062476
-1.0373867,-1.7967234,-6.088933
-1.137939,-9.424322,-5.3707027
3.0086398,-10.25268,-5.3323975
3.4922478,-9.591909,-5.2126923
2.1563408,-10.477725,-4.398699
1.165184,-10.822476,-3.83848
0.52835375,-10.980486,-3.7810218
0.38470787,-10.630948,-3.9007266
0.47568357,-10.616583,-4.6524734
0.67678785,-10.769805,-4.0970426
1.0694201,-11.689139,-4.0204315
1.3231945,-12.148806,-3.1489797
1.5051461,-14.332224,-1.9519303
1.988754,-13.341067,-4.0491605
1.7254032,-6.857848,-0.4484362
0.60975313,1.4448864,4.789852
0.52835375,2.4887135,6.446568
1.1939133,-1.3945147,7.0115757
1.7397678,-7.221751,6.9445405
2.204223,-6.704626,6.460933
1.6344274,-2.347366,7.6914997
1.1747605,-0.6762851,9.39131
1.0023854,0.03236813,10.751158
0.55229473,1.3299696,10.516536
0.32724947,0.78411514,10.449501
0.20754454,0.08025009,11.852443
0.95450336,-0.6236149,11.924266
0.7150935,-0.80556643,11.086331
0.55229473,-0.8151428,9.932376
0.7390344,-0.3028057,9.343428
0.6432705,0.35317734,8.926854
0.73424625,0.78411514,8.783209
0.9880207,0.70750403,8.902913
1.0742084,0.55428165,9.156688
0.9305624,0.013215341,9.477497
0.849163,-0.14479518,9.673813
0.78691643,-0.14479518,10.090385
0.64805865,-0.24534735,10.1143265
0.8778922,0.09940288,9.970682
0.8683158,0.09461469,9.7983055
0.7150935,-0.053819437,9.846188
0.8587394,-0.27407652,9.89407
0.9018332,-0.17352438,9.750423
0.849163,-0.02030205,9.568473
0.8108574,0.027579926,9.539743
0.849163,0.12813208,9.60199
0.9305624,-0.015513852,9.702541
0.920986,-0.21661815,9.616355
0.873104,-0.039454848,9.640296
0.80606925,0.027579926,9.582838
0.94013876,0.046732716,9.649872
0.8922568,-0.029878445,9.716907
0.8443748,0.022791736,9.669024
0.8395866,0.01800353,9.654661
0.7629754,0.022791736,9.6929655
0.9305624,-0.116066,9.640296
0.92577416,-0.14479518,9.6929655
0.82522196,0.008427128,9.6929655
0.7821282,0.046732716,9.645083
0.80606925,-0.025090255,9.673813
0.90662134,-0.08254862,9.669024
0.8778922,-0.116066,9.63072
0.77255183,-0.10170141,9.654661
