x,y,z
0.14529797,0.0754619,9.6929655
0.15966256,0.09940288,9.688178
0.063898616,0.0850383,9.664237
0.083051406,-0.034666643,9.716907
0.2506383,0.14728487,9.616355
0.19796816,0.09940288,9.645083
0.025593035,-0.053819437,9.712119
0.12135699,-0.068184026,9.625931
0.2506383,-0.15915978,9.60199
0.20275635,-0.22619453,9.649872
0.025593035,-0.049031235,9.755213
0.60975313,0.40584752,10.052081
0.102204196,0.4297885,9.86000
0.11656879,-0.15437157,9.367369
0.509201,-0.6140385,9.49665
0.18360355,-0.81993103,9.534956
0.102204196,-0.8007782,9.151899
0.039957628,-1.4328202,9.151899
0.32724947,-3.0895367,8.5677395
0.40864885,-5.210708,7.777687
0.74861085,-6.158771,7.5526423
0.533142,-6.125254,6.719496
0.43737805,-6.7285666,6.4992385
-0.21860503,-7.1595044,5.235154
0.106992394,-7.925616,4.3972197
0.2793675,-9.065207,2.4340587
0.4278016,-11.277354,0.33204
0.3751315,-9.745131,0.47089767
0.19796816,-7.365397,-0.18508536
0.70072883,-7.513831,-4.0970426
0.7150935,-14.37053,-8.9905815
0.6719997,-11.770539,-6.021898
0.60975313,-7.825064,-5.5574427
0.43737805,-8.476259,-6.6539397
1.0981493,-8.294308,-7.453569
1.1603959,-7.992651,-7.046572
1.3950175,-9.113089,-6.2756724
1.5865455,-9.251947,-5.437738
1.2034897,-8.184179,-5.3276095
1.0023854,-8.337401,-5.2701507
0.9736561,-8.902408,-5.1791754
1.0502673,-9.122665,-5.1169286
1.1173021,-9.237582,-4.786543
1.0646319,-9.223218,-4.015643
0.9784443,-8.5002,-3.158556
0.8635276,-8.20812,-2.119517
0.8635276,-8.662999,-1.4731106
0.7533991,-10.089881,-1.0038671
0.71988165,-10.822476,-0.8458566
0.8443748,-10.075517,-0.22817913
0.7677636,-9.524874,0.41822752
0.58102393,-9.692461,1.0981516
0.6624233,-9.898353,1.5290893
0.6911525,-9.9606,1.7924402
0.68157613,-9.90793,1.9983327
0.55229473,-9.141818,2.3861766
0.6289059,-9.433898,2.7405033
0.62411773,-9.08436,3.6119552
0.4804718,-8.7252445,3.923188
0.41822523,-9.251947,3.7220838
0.6289059,-9.113089,4.2439976
0.8108574,-8.203332,4.9670153
0.3751315,-7.068529,5.570328
0.27457932,-6.85306,5.862408
0.40864885,-7.4707375,6.3364396
0.6624233,-7.8873105,5.852832
0.3320377,-7.6239595,6.4752975
0.3080967,-6.8722124,6.9301763
0.32246128,-6.1156774,7.3132324
0.24106193,-5.881056,7.5765834
0.3033085,-6.4987335,7.3036556
0.22669734,-6.32157,7.839934
0.4278016,-5.55067,8.237353
0.16445076,-4.7845583,8.591681
0.19796816,-4.67443,8.687445
0.22190914,-4.9712987,8.562951
0.2650029,-4.607395,8.821514
0.063898616,-4.0854816,8.965159
-0.04622993,-3.874801,9.09923
-0.060594514,-3.391193,9.218935
0.011228442,-3.2140298,9.080077
-0.15635847,-3.338523,9.420039
-0.031865343,-3.4773808,9.333851
-0.05580631,-3.1278422,9.563684
-0.108476505,-2.5963523,9.534956
-0.20424043,-2.467071,9.376945
0.035169434,-2.3521543,9.415251
0.01601664,-2.079227,9.530167
-0.094111905,-2.0504978,9.697754
-0.02228894,-1.9212165,9.606779
0.19317995,-1.8206643,9.68339
-0.04144174,-1.4854904,9.582838
-0.108476505,-1.1167992,9.592414
-0.02228894,-1.8254524,9.539743
-0.05580631,-2.1462617,9.544532
-0.05580631,-1.7105358,9.592414
-0.07017091,-0.93005955,9.597201
-0.007924348,-0.8103546,9.645083
-0.17072307,-1.1167992,9.582838
0.001652047,-1.5429488,9.506226
