x,y,z
-0.019501856,-0.013897172,0.021418443
-0.01217148,-0.016340632,0.027527092
0.022036945,7.6358096E-4,0.02630536
0.022036945,0.0044287695,0.0067576915
-0.004841103,0.009315687,-0.0066813324
-0.004841103,0.011759146,-0.009124791
0.024480404,0.016646063,-0.015233438
0.044028074,0.02153298,-0.018898627
0.017150028,0.019089522,-0.022563815
-0.01217148,0.008093958,-0.025007274
0.00981965,0.008093958,-0.031115921
0.02936732,0.02153298,-0.031115921
0.0012675442,0.009315687,-0.029894192
-0.009728021,7.6358096E-4,-0.017676897
0.0049327323,0.0032070398,-0.007903062
0.0049327323,0.009315687,-0.010346521
0.015928298,0.02275471,-0.009124791
0.042806346,0.027641628,-5.7268515E-4
0.028145593,0.02153298,0.0043142326
0.0061544618,0.02275471,0.0043142326
0.013484838,0.014202605,-5.7268515E-4
0.04158462,0.0019853103,0.005535962
0.017150028,-0.005345066,0.012866339
-0.05737547,-0.01878409,0.0067576915
-0.05371028,-0.027336197,-0.0017944146
-0.013393209,-0.02244928,-0.007903062
-0.018280126,-0.027336197,-0.025007274
-0.023167044,-0.01878409,-0.026229003
-0.037827797,-0.0065667955,-0.020120356
-0.08547524,-4.5814848E-4,-0.026229003
-0.11724021,0.008093958,-0.044554945
-0.15633555,0.027641628,-0.06288089
-0.17221804,0.052076217,-0.06410261
-0.14289653,0.04230238,-0.05799397
-0.09158389,0.011759146,-0.045776673
-0.061040655,0.017867792,-0.016455168
-0.20642646,0.026419898,0.033635743
-0.35914263,-0.028557926,0.039744385
-0.106244646,-0.03711003,0.034857467
0.38244712,-0.023671009,0.053183414
0.40566,-0.001679878,0.07639627
-0.043936446,-0.029779656,0.08617011
-0.042714715,-0.054214247,0.04951822
0.44842052,-4.5814848E-4,0.020196715
0.44842052,0.16447532,0.011644609
-1.6395152,0.39782566,0.060513787
-6.7793307,0.8730784,0.1399262
-21.014923,0.6971494,-0.6932933
-36.34274,-2.909396,-2.0775127
-38.57362,-1.2136356,-2.1471512
-19.31672,-1.450651,-2.5686479
5.5234847,-0.71639156,-1.1758764
8.157534,2.153451,0.5614228
4.733026,1.7453932,1.5094849
5.7189617,0.58841544,1.7782654
10.847782,0.3404044,1.7562742
17.447563,0.20601413,1.7391701
21.142073,-0.16050471,1.3030126
21.425514,-0.7200568,-0.47949064
18.488476,0.9634864,-1.096464
12.052407,-0.039553493,0.040966116
4.2846513,-0.033444844,0.08006146
-1.6004198,0.26832235,0.14603484
-2.4495218,-0.16661336,-0.12885427
-0.58271915,-0.4109592,-0.16061924
0.9236733,-0.015118902,-0.13862811
0.8381522,-0.01878409,-0.17894518
0.3848906,-0.12385282,-0.2461403
0.3775602,0.0765108,-0.1630627
0.12710568,0.06673697,-0.020120356
-0.11601848,-0.08842267,0.05562687
0.034254238,-0.09819651,0.08006146
0.3311345,-0.050549056,0.08983529
0.39222097,-0.052992515,0.10449605
0.15154026,-0.0896444,0.109382965
-0.06959276,-0.11896591,0.11304816
-0.13556615,-0.12507455,0.1191568
-0.045158174,-0.13118319,0.10693951
-0.0011759147,-0.090866126,0.084948376
-0.112353295,-0.10430515,0.045853034
-0.13067923,-0.14217876,0.023861906
0.0049327323,-0.15928298,0.014088068
0.0990059,-0.12996148,0.005535962
0.07945823,-0.12385282,0.00920115
0.05258018,-0.13851358,0.033635743
0.070906125,-0.12507455,0.054405145
0.08801033,-0.078648835,0.06906589
0.0782365,-0.04932733,0.066622436
0.02936732,-0.023671009,0.06173552
-0.042714715,0.011759146,0.06295725
-0.09647081,0.0471893,0.0568486
-0.067149304,0.053297944,0.05073995
0.024480404,0.058184862,0.059292056
0.042806346,0.059406593,0.060513787
-0.03904953,0.04474584,0.04340958
-0.12212713,0.015424334,0.03241401
-0.14656171,0.0044287695,0.028748823
-0.12579232,0.010537417,0.018974988
-0.10257946,0.012980876,-0.003016144
-0.06959276,0.010537417,-0.01156825
