x,y,z
0.0049327323,-0.001679878,0.01042288
0.0049327323,-4.5814848E-4,0.0018707737
0.028145593,0.014202605,0.015309798
0.017150028,0.02275471,0.02630536
-0.037827797,0.02397644,0.011644609
-0.03294088,0.02275471,0.0018707737
0.030589052,0.031306818,-0.010346521
0.013484838,0.028863357,-0.009124791
-0.03049742,0.019089522,-0.010346521
-0.040271256,7.6358096E-4,-0.015233438
-0.042714715,-0.017562361,-0.020120356
-0.040271256,-0.023671009,-0.025007274
-0.062262386,-0.024892738,-0.021342086
-0.07081449,-0.02244928,-0.026229003
-0.040271256,0.0068722283,-0.03233765
-0.03904953,0.025198169,-0.031115921
-0.05737547,0.014202605,-0.029894192
-0.026832232,0.005650499,-0.028672462
4.5814784E-5,0.02397644,-0.026229003
-0.024388773,0.015424334,-0.016455168
-0.09769254,0.008093958,-0.014011709
-0.20398301,-0.010231984,-0.028672462
-0.21497856,-0.015118902,-0.025007274
-0.13556615,0.030085087,-0.025007274
-0.05737547,0.034972005,-0.03478111
-0.10746638,0.026419898,-0.046998404
-0.17099631,-0.016340632,-0.023785545
-0.15511382,0.015424334,-0.0017944146
-0.1538921,0.13759728,0.0030925032
-0.29316926,0.09361502,-0.025007274
-0.605932,0.04596757,0.047074765
-1.3878388,0.10583231,0.054405145
-2.357892,-0.095753044,0.14359139
-3.6077213,-0.1104138,0.17657807
-5.9803195,0.098501936,0.22056034
-9.9778185,0.014202605,0.15825213
-15.415736,-0.795804,-0.1251891
-19.999666,-1.2759438,-0.17283654
-20.137722,-1.2258528,0.5455404
-15.245915,-1.2686133,0.43436298
-9.028535,-1.0768018,-0.13740638
-3.6064997,-0.42439824,-0.16184098
-0.605932,-0.22403464,0.011644609
-0.12579232,-0.078648835,0.045853034
-0.09158389,0.054519676,-0.04944186
0.32869104,0.17913608,-0.15206714
1.3158484,0.14614938,-0.2546924
2.1319637,0.13271035,-0.28890085
2.1673937,0.16447532,-0.34876558
1.7874359,0.11316269,-0.3206658
1.6909193,0.0679587,-0.17405827
2.6108816,0.09605847,-0.08120683
4.258995,0.25488332,0.072731085
6.1758885,0.35506514,0.02997055
6.9968905,0.42714718,-0.18138865
6.8563914,0.5212203,-0.21926226
5.9914074,0.51388997,-0.1093066
5.369547,0.41004297,-0.14718023
5.6884184,0.28542656,-0.2461403
6.245527,0.19135337,-0.33166137
6.823405,0.28909174,-0.6016636
6.7720923,0.5688678,-0.77148396
6.4886513,0.58963716,-0.75437975
6.441004,0.19868375,-0.65786314
6.2895093,0.16081014,-0.59555495
5.929099,0.48823366,-0.5979984
5.097101,0.6152935,-0.4367301
3.4331055,0.4857902,-0.25224894
1.5101033,0.274431,-0.11541525
0.32869104,0.116827875,-0.015233438
0.12344049,0.15470149,0.016531525
0.2981478,0.18768819,0.06784417
0.36656466,0.12782344,0.10449605
0.24683517,0.09239329,0.12037853
0.06113229,0.048411027,0.1277089
0.05991056,0.049632758,0.109382965
0.19674426,0.061850052,0.07028762
0.16864447,0.053297944,0.05073995
-0.06959276,0.015424334,0.033635743
-0.19176571,0.02275471,0.00920115
-0.0463799,0.04230238,-0.010346521
0.116110116,0.07162389,-0.026229003
0.096562445,0.07040216,-0.023785545
-0.040271256,0.04352411,0.0030925032
-0.10380119,0.02153298,0.020196715
-0.023167044,0.026419898,0.02997055
0.063575745,0.014202605,0.031192278
0.031810783,-0.013897172,0.027527092
-0.06348412,-0.032223113,0.027527092
-0.06348412,-0.039553493,0.03852266
-0.03416261,-0.046883866,0.03852266
-0.06348412,-0.06398808,0.044631302
-0.112353295,-0.078648835,0.051961683
-0.11724021,-0.08353575,0.05073995
-0.08914043,-0.035888303,0.05562687
-0.05371028,-0.034666575,0.047074765
-0.036606066,-0.031001385,0.044631302
-0.036606066,-0.034666575,0.048296496
-0.056153737,-0.02244928,0.042187847
-0.067149304,-0.023671009,0.028748823
-0.06348412,-0.016340632,0.023861906
