x,y,z
-0.008506292,-0.012675443,0.0043142326
-0.01094975,-0.02000582,-0.0066813324
0.0012675442,-0.0041233366,-0.010346521
-0.008506292,0.0032070398,-0.007903062
4.5814784E-5,0.0019853103,-0.009124791
0.0110413795,0.0044287695,-0.010346521
-0.015836667,0.0068722283,-0.007903062
-0.028053962,0.031306818,6.490443E-4
0.028145593,0.06918043,-0.007903062
0.03547597,0.09483675,-0.007903062
-0.21864375,0.05085449,0.016531525
-0.651136,-0.009010254,0.048296496
-0.9602335,-0.052992515,0.08983529
-1.2167968,0.005650499,0.122821994
-1.9217347,0.08628464,0.1277089
-3.2082157,0.11194096,0.20101267
-4.4103975,-0.08231402,0.25110358
-5.0505834,-0.07376192,0.2938641
-5.5123973,-0.017562361,0.20345613
-5.8764725,-0.12751801,0.19612575
-5.86059,-0.17027853,0.24988183
-5.7836213,-0.09819651,0.17902154
-6.258874,-0.12751801,-0.029894192
-6.587519,-0.38408118,0.03852266
-6.5410933,-0.44638938,0.05807033
-5.7054305,-0.44761112,-0.11297179
-4.776916,-0.43783727,-0.19116248
-4.5496745,-0.4757109,-0.28157046
-4.8331156,-0.47448915,-0.2620228
-4.9381843,-0.42439824,-0.22292745
-4.511801,-0.4268417,-0.17528
-3.536861,-0.42806345,-0.19360594
-2.940657,-0.30711222,-0.21681881
-2.9931915,-0.23625194,-0.18138865
-3.2802978,-0.23991711,-0.090980664
-2.7720582,-0.23747367,-0.0017944146
-1.5222291,-0.13362665,-0.018898627
-0.77453065,-0.02122755,-0.03722457
-0.8099608,0.005650499,0.02630536
-0.74154395,0.005650499,0.048296496
-0.51674575,0.02153298,0.077618
-0.18443534,0.02275471,0.11671334
0.4850724,0.02153298,0.10083086
0.88457793,0.037415463,0.06295725
1.2596488,0.0765108,0.053183414
1.9890213,0.08628464,0.016531525
3.187538,0.12049307,0.051961683
4.5314407,0.19868375,0.072731085
5.4159727,0.29520038,-0.033559382
5.4086423,0.3538434,-0.12030217
4.7721214,0.3452913,-0.11541525
4.184469,0.33551747,-0.054328777
3.787407,0.29031348,-0.06288089
3.5137396,0.3000873,-0.11785871
3.2620633,0.34651303,-0.104419686
2.9871743,0.32696536,-0.048220135
2.7916975,0.29275694,-0.0017944146
2.884549,0.28542656,0.00920115
3.204642,0.27198753,-0.005459603
3.4844182,0.274431,-0.015233438
3.4160013,0.28909174,-0.043333218
3.2376287,0.24877466,-0.072654724
3.0531476,0.22678353,-0.040889755
2.919979,0.20112722,-0.046998404
2.6536422,0.20967932,-0.046998404
2.477713,0.20112722,-0.09831104
2.2871232,0.14981458,-0.110528335
2.1490679,0.122936524,-0.1093066
2.0659902,0.12171479,-0.1093066
1.9291565,0.15592322,-0.09831104
1.7324581,0.12904517,-0.09953277
1.5540856,0.11316269,-0.110528335
1.3378395,0.072845615,-0.09464585
1.2058927,0.041080654,-0.09586758
1.1777929,0.031306818,-0.08120683
1.3134049,0.05085449,-0.084872015
1.2889704,0.097280204,-0.09220239
1.1948972,0.06551524,-0.104419686
1.0409592,0.04352411,-0.07143299
0.8906866,0.04474584,-0.07143299
0.85525644,0.030085087,-0.06898953
0.9334471,0.02275471,-0.05799397
1.0996022,0.014202605,-0.06410261
1.2718661,0.052076217,-0.04944186
1.3182918,0.08261945,-0.03233765
1.2217752,0.0887281,-0.0017944146
1.0519547,0.08261945,0.00920115
0.8784693,0.09483675,0.015309798
0.79050475,0.0765108,0.00920115
0.7367487,0.06673697,-0.0017944146
0.671997,0.054519676,0.0018707737
0.47529858,0.03863719,-0.0017944146
0.17108794,0.012980876,-0.01156825
-0.007284562,-0.012675443,-0.01156825
0.13932297,0.0032070398,-0.021342086
0.41176865,0.033750273,-0.025007274
0.43375978,0.025198169,-0.022563815
0.16253583,-0.010231984,-0.0066813324
-0.13678788,-0.046883866,0.034857467
-0.15633555,-0.032223113,0.05562687
