x,y,z
1.3854412,-0.8582366,9.554108
1.3662884,-0.9061185,9.429615
1.2657363,-0.8534484,9.57326
1.1125139,-0.65713227,9.860553
1.3184065,-0.6906497,9.908435
1.4093822,-0.84387195,9.850977
1.2417953,-0.9061185,9.640296
1.0837847,-0.59009755,9.702541
1.0454792,-0.7768372,9.831823
1.208278,-0.71459067,9.726482
1.0789965,-0.6284031,9.616355
1.0023854,-0.7050143,9.616355
1.0885729,-0.87260115,9.793518
1.1795486,-0.8773894,9.812671
1.1412431,-0.82471925,9.688178
1.1268785,-0.81993103,9.702541
1.2417953,-0.8103546,9.831823
1.2944654,-0.9923061,9.726482
1.2034897,-0.8630248,9.664237
1.2130661,-0.7002261,9.544532
1.2848891,-0.8007782,9.448768
1.3519238,-0.92527133,9.544532
1.3710766,-1.0066707,9.506226
1.2609481,-0.8821776,9.410461
1.3231945,-0.8151428,9.410461
1.5195106,-0.9779415,9.439192
1.4572642,-1.059341,9.511015
1.0694201,-0.9061185,9.635508
1.3806529,-0.9348477,9.606779
1.696674,-0.93005955,9.616355
1.3950175,-1.0306118,9.750423
1.1364549,-0.9779415,9.769577
1.2322187,-0.8821776,9.721695
1.2178543,-0.8630248,9.673813
1.1220903,-0.5134864,9.597201
0.9161977,-0.96836513,9.664237
1.1556077,-1.135952,9.597201
1.5434517,-0.93005955,9.645083
1.3998058,-1.0832819,9.812671
1.2130661,-0.9779415,9.621142
1.7972262,-1.0258235,9.4583435
2.0940943,-1.2604452,9.941952
1.4381113,-1.183834,10.3728895
1.404594,-1.159893,9.6929655
2.5010912,-1.0066707,8.878973
2.448421,-1.1455284,9.989834
0.91140956,-1.2508687,11.737526
1.1364549,0.6308928,11.081543
2.8649943,2.4695609,11.162943
1.165184,5.3281145,18.421852
-2.8521137,4.4279337,24.991257
-6.9172935,7.377463,29.894371
-11.849137,7.1715703,35.95623
-13.77878,-10.372385,38.905758
-10.331278,-20.044544,32.671524
-6.424109,-15.371263,21.620367
-10.173268,-8.68694,14.0645895
-46.779037,0.56864625,-13.687802
-62.13,46.62153,-95.13504
-3.9103055,31.725449,-104.630035
2.860206,22.690119,-61.761307
-11.820408,8.014294,-10.484498
-13.783569,-19.292795,-12.749316
-10.283396,-36.108948,10.851709
-16.345255,-27.188534,27.816294
-12.778047,-9.692461,25.355162
-9.344909,2.5222309,27.878542
-7.520606,3.5899987,28.927156
-5.0259557,0.4154239,25.546688
-2.1051548,7.2481813,23.047249
0.035169434,10.604708,17.593493
-0.28563982,5.6632886,12.757412
-1.4108663,-1.9978276,10.569205
0.2793675,-2.562835,8.256507
1.624851,-0.3219585,9.0130415
1.6679448,0.19995502,8.845455
1.6009101,-0.8630248,8.299601
1.9073547,-1.4280322,8.357059
2.0079067,-1.5668899,9.381733
1.5338753,-1.9786749,9.554108
1.2465835,-1.7201121,9.956317
1.0454792,-1.135952,10.195726
0.6624233,-1.3322681,10.02814
0.80128103,-1.7584177,9.28000
1.4381113,-1.8972754,10.004199
1.3615001,-1.7009593,10.176574
0.5618712,-0.7624727,10.190939
0.25542653,-0.40814608,9.951529
0.7629754,-0.8295074,9.60199
1.1795486,-1.1024348,9.702541
1.0789965,-1.2748097,10.071234
0.6384823,-0.7002261,10.181362
0.6432705,-0.2980175,9.884494
0.78691643,-0.90133035,9.6929655
0.8204338,-1.5094315,9.606779
0.62411773,-0.8965422,9.879705
0.6624233,-0.24055913,10.047293
0.82522196,-0.95400053,9.827036
0.7821282,-1.5908308,9.63072
0.8874685,-1.4998552,9.635508
