x,y,z
1.0742084,-0.20225355,9.7983055
0.93535054,-0.25492373,9.6929655
0.920986,-0.034666643,9.860000
0.82522196,-0.08254862,9.740848
0.920986,-0.09691321,9.702541
0.89704496,-0.10170141,9.712119
0.91140956,-0.14479518,9.755213
0.93535054,-0.07776043,9.582838
1.0359027,-0.10170141,9.57326
0.95450336,-0.09212501,9.611567
0.8635276,-0.053819437,9.740848
0.8443748,-0.24055913,9.731272
0.95450336,-0.17831257,9.654661
0.94971514,-0.25013554,9.721695
0.9018332,-0.3458995,9.673813
1.1603959,-0.1304306,9.520591
1.356712,0.19995502,9.443979
0.9592915,0.19516683,9.822247
0.80128103,-0.10170141,9.836612
1.0885729,-0.3267467,9.946741
1.0598437,-0.08254862,9.932376
0.89704496,0.27656618,10.061657
0.75818723,1.0331014,10.42556
0.13093337,2.6898177,13.810816
-1.4683245,1.7561193,17.349293
-1.9232033,2.8574047,19.345974
-0.69263655,4.365687,21.711342
-1.3773488,1.2820877,23.17653
-2.2871063,-0.6379795,23.324966
-1.7125226,-2.6202931,22.175798
-1.5688767,-4.3967147,17.746716
-1.5114183,-6.010337,11.526846
-1.4300189,-5.3639307,6.6045785
-2.009391,-5.397448,0.23148784
-1.9519325,-6.0007606,-5.2174807
-1.6742171,-4.2243395,-9.665716
-1.3486196,1.9284945,-12.610458
0.8443748,8.708582,-16.048384
3.5736475,8.699006,-17.446537
5.5894785,8.215398,-14.76036
6.6237288,6.8555493,-12.974361
5.8336763,6.2187195,-7.420052
5.096294,5.217986,-4.6045914
5.7331243,2.455196,-5.126505
6.5614824,0.8224207,-5.5478663
6.087451,-1.7823588,-3.7044106
4.689297,-4.789347,-4.063525
3.4491541,-4.96651,-4.743449
0.49004817,-4.822864,2.5250344
-2.56961,-7.748453,7.069034
-2.0237556,-8.97902,6.0156307
-3.541614,-5.4932117,14.993501
-5.2749414,-5.670375,19.858309
-2.9670305,-6.350299,16.942297
-1.4012898,0.78411514,17.382812
-1.9998144,5.4765487,20.399376
-3.0675826,0.36275375,18.809696
-0.8937409,-3.8364954,14.390187
0.044745825,-1.2987508,13.485219
-0.57771987,1.6316261,13.202715
-1.889686,0.58301085,12.029606
-1.382137,-0.8390838,10.602724
-0.39576834,-1.1072229,10.286703
-0.49632055,-0.5996739,10.023352
-0.6112373,-0.58052117,9.850977
0.097416,-0.4895454,9.783941
0.6576351,-0.3171703,9.611567
0.56665933,-0.49912181,9.38652
0.77734005,0.10897928,9.525379
0.6911525,-0.025090255,9.78873
0.106992394,-0.5853093,9.965893
0.011228442,-0.65713227,9.745636
0.40386063,-0.84387195,9.534956
0.3607669,-0.41293427,9.807882
0.11656879,-0.087336816,10.018563
0.11656879,-0.3746287,9.640296
0.3320377,-0.7816254,9.525379
0.2889439,-0.60446215,9.625931
0.07347501,-0.43687522,9.740848
0.001652047,-0.09212501,9.793518
0.18839175,-0.049031235,10.056869
0.2985203,-0.23577094,9.951529
0.23148553,-0.38420507,9.874918
0.19317995,-0.17352438,9.764789
0.33682588,-0.35068768,9.740848
0.49004817,-0.049031235,9.755213
0.4565308,-0.13521878,9.640296
0.3080967,-0.21182996,9.73606
0.33682588,-0.09212501,9.779154
0.54271835,-0.2836529,9.669024
0.2985203,-0.49912181,9.659449
0.3320377,0.037156306,9.827036
0.4996246,-0.010725655,9.822247
0.4996246,-0.10170141,9.68339
0.41822523,-0.49912181,9.745636
0.47568357,-0.39856967,9.712119
0.62411773,-0.527851,9.63072
0.60975313,-0.52306277,9.721695
0.49004817,-0.40814608,9.740848
0.59538853,-0.40335786,9.664237
