x,y,z
0.20275635,0.34838915,9.769577
0.13572158,0.16164947,9.793518
0.15966256,0.31008357,9.60199
0.21712095,0.39627114,9.673813
0.36555505,0.2574134,9.606779
0.23627374,0.2574134,9.597201
0.24106193,0.2574134,9.712119
0.3080967,0.295719,9.669024
0.19796816,0.24304882,9.664237
0.039957628,0.30529538,9.750423
0.06868681,0.31008357,9.731272
0.3176731,0.34360096,9.745636
0.2889439,0.2669898,9.745636
0.12614518,0.34360096,9.669024
0.12135699,0.3005072,9.611567
0.35119045,0.26220158,9.640296
0.3607669,0.3819065,9.86534
0.3080967,-0.14958338,10.013775
0.44695443,-0.5422156,10.621876
0.2985203,0.295719,12.427027
-0.16593488,1.8135777,13.078221
-0.4723795,1.0905597,13.499582
-0.7596714,0.6165282,14.519468
-0.7165776,0.17601407,15.706942
-0.87937635,0.5063997,16.602335
-1.1187861,-0.21661815,16.96624
-1.1092097,0.03236813,16.923145
-0.61602545,0.9708549,16.444326
-1.2049737,-0.13521878,15.965505
-1.5162065,-3.3145819,13.882639
-0.84585893,-5.1197324,10.693699
0.67678785,-3.8556483,6.800895
1.8068025,-2.8166094,5.886349
2.2137992,-2.878856,4.5983243
2.9176643,-5.0287566,0.26500523
3.4300015,-3.3097937,0.3368282
4.1386547,-0.24055913,-0.9799261
3.9567032,0.295719,-2.9287226
3.8369982,0.8367853,-5.3802795
5.306975,3.1973667,-8.224469
7.375476,4.509333,-10.020043
8.24214,3.470294,-8.842146
8.606043,2.6658769,-7.731284
8.256504,3.8485615,-6.155967
8.404939,4.5524263,-5.8686757
8.021883,3.1159673,-4.1497126
8.404939,1.363487,-4.1114073
8.63000,2.187057,-4.034796
8.548585,3.6378808,-2.5648196
8.313963,3.66661,-0.041439425
8.864606,1.1288654,-0.21381453
9.664235,0.8559381,-2.4594793
9.046556,1.4448864,-0.4771654
7.753744,1.5933205,1.8738396
8.208622,-1.5716779,-0.6686933
8.7305355,-1.7536294,-2.794653
8.036247,-0.1304306,1.644006
6.4369893,-1.4854904,4.459466
6.5566945,-5.01918,1.6918881
6.4082603,-2.5532584,1.9791799
4.459464,0.7362332,7.5909476
2.960758,-1.696171,7.753746
3.731658,-5.038333,5.091509
2.448421,-2.7687275,10.329796
1.2513716,1.2246293,13.121315
1.7014621,0.7266568,12.039183
2.2664695,1.0283133,10.913956
1.2513716,1.4927684,12.637708
0.17881536,0.82720894,13.446913
0.6336941,-0.37941688,12.316897
1.3040417,0.7505978,11.340106
0.9449269,1.5645914,12.010454
-0.31436902,1.5885323,12.838812
-0.30000442,-0.17352438,12.666437
0.4804718,-0.24055913,11.933843
0.3894961,0.17122585,11.660914
-0.19466408,0.62610465,11.512481
-0.22339322,0.42500028,11.201248
0.20275635,-0.13521878,10.794251
0.55708295,0.0898265,10.621876
0.26021472,0.31008357,10.248397
0.102204196,0.43936494,9.913222
0.3080967,0.061097316,9.937163
0.61454135,-0.15437157,9.7983055
0.31288487,0.30529538,9.951529
-0.14199388,0.65483385,10.047293
0.23627374,0.295719,9.951529
0.53793013,0.046732716,9.817459
0.2506383,0.17122585,9.918011
0.01601664,0.22868422,9.86534
0.18360355,0.09461469,9.140000
0.16923895,-0.05860763,9.846188
-0.012712538,-0.13521878,9.831823
0.049534023,0.046732716,9.941952
0.106992394,0.15207306,9.836612
0.049534023,0.13770846,9.669024
0.097416,0.027579926,9.860000
0.26979113,-0.19746536,9.793518
0.23148553,0.05630911,9.764789
0.15966256,0.30529538,9.6929655
