x,y,z
-0.047540545,-0.002557996,-0.01883754
-0.05731438,0.009659299,-0.011507163
0.013545925,0.024320051,-0.01639408
0.07341067,0.043867722,-0.023724457
0.034315325,0.051198103,-0.022502728
-0.026771147,0.043867722,-0.015172351
-0.010888664,0.043867722,-0.023724457
0.02454149,0.057306748,-0.03960694
0.011102466,0.046311185,-0.050602503
0.0025503603,0.034093887,-0.045715585
0.02576322,0.03287216,-0.03716348
0.017211113,0.03653735,-0.031054834
-0.01821904,0.020654863,-0.027389646
0.007437278,0.0035506513,-0.029833104
0.037980516,0.004772381,-0.029833104
-0.030436335,0.004772381,-0.03960694
-0.12573123,0.02554178,-0.053045966
-0.1660483,0.020654863,-0.027389646
-0.14650063,0.020654863,-0.027389646
-0.08907934,0.010881028,-0.03960694
0.014767654,0.018211404,-0.027389646
0.012324195,0.019433133,-0.01639408
-0.12206604,-0.026992586,-0.024946187
-0.054870922,-0.040431608,-0.0017333273
0.015989384,-0.0013362665,0.0055970494
-0.11473566,-0.0050014546,0.0031535905
-0.19659154,-0.0050014546,0.0031535905
-0.14283545,0.0035506513,0.019036075
-0.090301074,0.029206969,0.015370885
-0.0829707,0.031650428,0.019036075
-0.0707534,0.05241983,0.020257803
-0.051205732,0.064637125,0.012927426
-0.021884229,0.06830231,0.016592612
-0.026771147,0.040202536,0.019036075
-0.051205732,0.024320051,0.006818779
-0.0072234753,0.010881028,0.001931861
0.05141954,-0.025770856,0.017814344
0.034315325,-0.045318525,0.031253368
-0.0622013,-0.053870633,0.02147953
-0.08907934,-0.053870633,0.009262238
-0.01821904,-0.05142717,0.011705697
0.020876301,-0.05509236,-0.0053985156
-0.041431896,-0.03554469,-0.034720022
-0.11229221,-0.006223184,-0.032276563
-0.08541416,0.021876592,-0.034720022
-0.03532325,0.058528475,-0.101915136
0.026984949,-0.0050014546,-0.12024108
0.20413572,-0.18581742,-0.01761581
0.1870315,-0.46070653,0.098448485
0.07341067,-1.3464603,0.47596288
0.11861466,-2.7819924,0.73496956
-0.614423,-4.861376,0.4515283
-1.6626669,-7.3549256,-0.6150415
-4.6302476,-10.076939,-2.0395782
-5.9827023,-12.109897,-4.591771
-2.6486027,-12.873478,-6.126263
8.700043,-10.695134,-6.305857
10.621822,-7.7886395,-0.6663541
2.7783196,0.26988766,2.3439872
-3.7163942,9.409646,3.8894749
-5.42315,10.02000,5.3592153
-1.8178265,10.712009,4.2315593
1.7410713,10.59000,1.8552954
2.1149204,8.509231,0.117996156
0.59875435,6.6106634,-0.88382196
1.5993508,4.0963445,-1.3945049
1.6970891,3.5099142,-0.9888907
0.16748382,1.8434752,-0.4317821
-1.1764185,0.7219276,-0.18621448
0.013545925,0.7891227,0.048357584
1.5565902,1.1360939,0.2609385
0.7722399,1.2961404,-0.026167916
0.19191842,1.334014,-0.032276563
0.2200182,1.1397591,0.034918554
0.73192286,0.9296216,-0.033498295
1.0764506,0.75002736,0.061796606
0.47902486,0.5154553,0.13021345
-0.09396627,0.2295706,0.2193997
-0.03532325,0.12205841,0.276821
0.12594503,0.15137991,0.27437752
0.1870315,0.090293445,0.2646037
-0.0023365575,-0.10029635,0.21329105
0.017211113,-0.24446043,0.105778866
0.20291398,-0.28233406,0.041027203
0.16992728,-0.29455134,0.022701262
0.11494947,-0.31532073,0.0324751
0.19924879,-0.2798906,0.038583748
0.261557,-0.21636066,0.026366448
0.23834413,-0.12595268,0.0324751
0.21024436,-0.052648902,0.056909688
0.27499604,-0.045318525,0.09111811
0.35074326,-0.05753582,0.12166135
0.28476986,-0.07097484,0.12288308
0.0954018,-0.09663116,0.11066578
0.017211113,-0.10884846,0.086231194
0.007437278,-0.08930079,0.07034871
-0.06464476,-0.07952695,0.048357584
-0.14405718,-0.066087924,0.036140285
-0.0744186,-0.041653335,0.016592612
0.04408916,0.024320051,0.008040508
