x,y,z
0.018432843,0.008437569,-0.013950622
0.033093598,0.020654863,-0.010285433
0.0025503603,0.019433133,-0.004176786
-0.042653628,-1.1453708E-4,-0.006620245
-0.03776671,-0.002557996,-0.0053985156
-0.048762277,0.008437569,0.0055970494
-0.09396627,-0.006223184,0.015370885
-0.108627014,-0.0013362665,0.02147953
-0.08785762,0.02676351,0.017814344
-0.047540545,0.042645995,0.010483967
-0.0206625,0.060971938,0.019036075
-0.023105958,0.064637125,0.0141491555
-0.025549417,0.046311185,-0.0017333273
-0.042653628,0.040202536,-0.022502728
-0.045097087,0.037759077,-0.032276563
-0.032879792,0.037759077,-0.034720022
0.0025503603,0.023098322,-0.032276563
0.046532623,0.023098322,-0.022502728
0.057528187,0.02554178,-0.031054834
0.0062155486,0.004772381,-0.034720022
-0.058536112,-0.024549127,-0.03960694
-0.073196866,-0.036766417,-0.03716348
-0.015775582,-0.002557996,-0.024946187
0.05264127,0.015767945,-0.01883754
0.037980516,0.0059941104,-0.01761581
-0.03898844,-0.0050014546,-0.023724457
-0.048762277,-0.0074449135,-0.027389646
0.039202243,-0.0037797254,-0.006620245
0.122279845,0.008437569,0.0055970494
0.084406234,0.015767945,0.0031535905
-0.0047800164,0.00721584,0.001931861
-0.013332123,-0.006223184,0.0141491555
0.042867433,0.0035506513,0.022701262
0.040423974,0.03653735,0.017814344
-0.010888664,0.03287216,0.0055970494
0.012324195,0.0059941104,0.006818779
0.11494947,-0.019662209,0.0324751
0.14671443,-0.08319214,0.023922993
0.11250601,-0.22491276,0.017814344
0.13083194,-0.46070653,0.08500946
0.07707586,-0.9005291,0.1986303
-0.26745182,-1.5309415,0.34890303
-0.8587689,-2.4692297,0.5346059
-1.120219,-3.8033583,0.5138365
-0.9051946,-4.84305,0.54071456
-1.1764185,-5.7397995,0.45763695
-2.1623542,-6.608449,-0.17399718
-2.5362036,-7.254744,-1.1122855
-1.3963299,-7.27307,-2.1177688
-0.27233875,-6.373877,-2.8190415
0.5840936,-5.530884,-3.2283208
1.9536523,-4.964001,-3.2222123
2.7380025,-4.32015,-2.915558
2.4093573,-3.488152,-2.6027954
1.8522488,-2.7147973,-1.935731
1.403874,-1.7374138,-1.258893
0.92006916,-0.54134065,-0.70667124
0.38495168,0.4079431,-0.015172351
-0.31754273,1.0933334,0.64822674
-0.87098616,1.6174552,1.22977
-0.92352057,2.1342468,1.7514484
-0.8001259,2.5203133,2.0898674
-0.82089525,3.0713134,2.2242577
-1.2338399,3.8874285,2.3439872
-1.567372,4.5593796,2.4405038
-1.4342035,4.620466,2.3232176
-0.9736115,4.929564,1.9371512
-0.21369575,5.5929627,1.685475
1.0984417,5.5001116,1.6769229
1.9524306,5.2740917,0.9634329
1.7422931,5.830000,-0.024946187
2.4716654,4.817165,0.20351723
1.8815702,3.876433,-0.06770672
-0.09396627,2.90638,-0.5698375
-1.9412211,2.2258766,-0.49164683
-1.2704917,1.7176371,-0.37924773
1.1118807,1.4464132,-0.26562688
1.9035614,1.1189897,-0.33526546
1.0678984,0.6852757,-0.25951824
0.23956586,0.41771692,-0.0029550567
0.4313774,0.2588921,0.036140285
1.0507942,0.2295706,-0.006620245
1.0495725,0.12328014,-0.006620245
0.527894,0.029206969,0.037362017
-0.0047800164,-0.044096798,0.09600503
-0.28089085,-0.092965975,0.04469239
-0.30166027,-0.09052251,0.036140285
-0.12084431,-0.053870633,0.043470666
0.030650137,0.024320051,0.04591412
0.0098807365,0.07318923,0.02758818
-0.12695296,0.108619384,0.006818779
-0.21369575,0.13305396,-0.01883754
-0.18803944,0.1880318,-0.03716348
-0.041431896,0.205136,-0.083589196
0.0954018,0.21246637,-0.11168897
0.103953905,0.17825796,-0.11779762
0.055084728,0.12450187,-0.09336303
-0.0121103935,0.07318923,-0.05548942
-0.06342303,0.041424267,-0.029833104
-0.13550507,0.034093887,-0.020059269
