x,y,z
0.02576322,-0.0037797254,-0.010285433
0.028206678,0.0035506513,-0.01761581
0.028206678,0.009659299,-0.021280998
0.007437278,-1.1453708E-4,-0.010285433
0.012324195,-0.006223184,-0.004176786
0.03187187,0.0035506513,-0.010285433
0.007437278,0.0035506513,-0.0078419745
0.008659007,-0.008666643,-0.010285433
0.040423974,-0.002557996,-0.01639408
0.018432843,-0.009888372,-0.01761581
-0.04021017,-0.0318795,7.101316E-4
-0.05609265,-0.050205443,0.001931861
-0.01944077,-0.05509236,-0.0029550567
0.059971645,-0.110070184,0.00437532
0.2982089,-0.27378193,0.1070006
0.40938628,-0.47658902,0.2193997
-0.1489441,-0.94451135,0.48695844
-1.2032965,-1.7398572,0.5932489
-1.3401303,-2.2945225,0.588362
-0.81967354,-2.6524892,0.5651491
-0.7390394,-3.077651,0.5272755
-0.9772766,-3.6310945,0.394107
-0.77813476,-4.1368904,0.27071235
-0.46415028,-4.3995624,0.12043962
-0.60953605,-4.631691,0.017814344
-1.0713499,-4.984771,-0.14345394
-1.2338399,-5.2840943,-0.29983532
-1.0786802,-5.3830543,-0.48553818
-0.9772766,-5.417263,-0.81540513
-1.1727533,-5.285316,-1.1086203
-0.92352057,-4.9407883,-1.317536
-0.37618575,-4.522957,-1.4763608
0.25911355,-4.0281563,-1.6449594
0.96771663,-3.4734914,-1.5997555
1.3183529,-2.9041655,-1.3407489
0.9408386,-2.292079,-1.1587112
0.4521468,-1.7447442,-0.95223886
0.38617343,-1.2084049,-0.703006
0.44603816,-0.5718839,-0.5661723
0.22979203,-0.12595268,-0.37313908
0.04775435,0.062193666,-0.05426769
0.32142174,0.26988766,0.12654826
0.46680754,0.45192534,0.20351723
0.03187187,0.535003,0.41121122
-0.5765494,0.6596194,0.6555571
-0.56188864,0.7903444,0.81193846
-0.01944077,1.040799,0.9206724
0.055084728,1.4793998,1.0245193
-0.5814363,1.8520273,1.1063752
-1.0554674,2.0096304,1.1442488
-0.808678,2.2857413,1.1210359
-0.6107578,2.8123066,1.1222577
-0.7023875,3.230138,1.1356968
-0.7353742,3.3156593,1.0269628
-0.31754273,3.5172446,0.886464
0.14915788,3.9106414,0.8327079
0.45581198,4.1000094,0.82782096
0.39228207,4.098788,0.65311366
0.36173883,4.21363,0.39899394
0.95672107,4.21363,0.439311
1.9377698,4.1048965,0.34035093
2.2407587,4.0877924,-0.088476114
1.557812,3.9949408,-0.25096613
0.76979643,3.6882868,-0.25951824
0.5413331,3.4256148,-0.53074217
0.9115171,3.397515,-0.75676215
1.2865881,3.1959298,-0.6822366
1.3330138,2.571626,-0.57716787
0.9774905,1.9192225,-0.5392943
0.36784747,1.4378611,-0.34626102
-0.28089085,1.0175861,-0.15200604
-0.35785982,0.75369257,-0.031054834
-0.016997311,0.6229675,-0.04938077
0.35196498,0.5728766,-0.1165759
0.38006476,0.5655462,-0.21064906
0.09173661,0.57043314,-0.26440516
-0.027992876,0.5973112,-0.25218788
0.053862996,0.5765418,-0.2460792
0.24445279,0.5472203,-0.21675771
0.38861686,0.503238,-0.14101048
0.3238652,0.4213821,-0.083589196
0.067302026,0.28088322,-0.0420504
-0.30532545,0.10006728,0.008040508
-0.47025892,-0.10762673,0.08256601
-0.11351394,-0.1271744,0.12166135
0.19924879,-0.09663116,0.12532654
0.10151044,-0.09785289,0.08989638
-0.071975134,-0.08074868,0.060574874
-0.11229221,-0.044096798,0.031253368
-0.0121103935,-0.01844048,-5.1159784E-4
0.05264127,0.014546216,-0.0420504
0.0062155486,0.043867722,-0.057932884
-0.030436335,0.05486329,-0.06037634
0.004993819,0.060971938,-0.0628198
-0.006001746,0.06341539,-0.06892844
-0.048762277,0.062193666,-0.0628198
-0.0047800164,0.023098322,-0.040828668
0.07096721,-0.0037797254,-0.03716348
0.046532623,-0.020883938,-0.031054834
-0.010888664,-0.011110102,-0.006620245
