x,y,z
0.016310088,-0.014431679,-0.035682134
0.016310088,-0.01076649,-0.034460407
0.0016493346,-0.01076649,-0.02713003
0.005314523,-0.01198822,-0.023464842
0.010201441,-0.01076649,-0.032016948
0.007757982,-0.01198822,-0.036903866
-0.016676607,-0.0071013025,-0.03323868
-0.041111197,-9.926552E-4,-0.02835176
-0.014233148,2.2907424E-4,-0.0259083
0.015088359,0.005115992,-0.02713003
0.010201441,0.007559451,-0.029573489
-0.017898336,0.008781181,-0.029573489
-0.03378082,0.0038942625,-0.030795218
-0.010567959,0.002672533,-0.040569052
0.005314523,0.007559451,-0.043012515
-0.019120065,2.2907424E-4,-0.04545597
-0.03622428,-0.01198822,-0.043012515
-0.027672172,-0.018096868,-0.040569052
-0.015454877,-0.021762056,-0.04545597
-0.0044593127,-0.032757618,-0.060116723
-7.941243E-4,-0.04741837,-0.06622537
-0.045998115,-0.05597048,-0.0674471
-0.10219767,-0.06696604,-0.080886126
-0.07165443,-0.070631236,-0.080886126
-0.052106764,-0.07918334,-0.07844266
-0.07531962,-0.070631236,-0.060116723
-0.14740166,-0.060857397,-0.04545597
-0.3074482,0.055206902,-0.008804088
-0.511477,0.07719803,-0.018577924
-0.5969981,0.0344375,-0.038125597
-0.51758564,-0.03153589,-0.010025818
-0.27690497,-0.11583522,0.1524642
0.089613855,-0.15126537,0.51776135
0.23499966,-0.13293943,0.9123799
0.005314523,-0.10361793,1.2556858
-0.17183626,-0.1231656,2.0974574
-0.11563669,-0.29665118,3.2397745
0.43047637,-0.5568796,4.327114
1.4738333,-0.6424006,5.5708346
1.4946027,-0.40905032,7.2336082
0.18979566,-0.3711767,8.374703
-0.68007565,-0.5605447,8.31606
-1.4399914,-0.6240747,8.239092
-0.24391828,-0.82688177,8.476107
-0.71672755,-1.1653007,6.219573
-1.315375,-1.4597375,4.547025
-1.7429802,-1.7199659,1.9887235
-0.3062265,-1.2080613,-3.0545757
0.78111273,0.07719803,-8.074661
1.7756006,1.5652646,-11.682428
0.42192426,2.5902956,-13.405067
0.59296644,1.9024619,-13.622535
-0.17550144,1.2989275,-10.9701605
-1.5731599,0.56833327,-7.3538413
-2.8559759,-0.1732565,-3.485846
-2.2780979,-0.2514472,-0.6379947
-1.0478163,0.28977895,0.6741427
-0.29523093,0.6501891,0.8891671
0.3950462,0.777249,0.28441098
0.60396194,0.984943,-0.39242715
0.056627158,0.8236747,-0.67709005
-0.33310455,0.49014255,-0.6062298
-0.047219846,0.18348849,-0.5536954
0.377942,-9.926552E-4,-0.4657309
0.32907283,-0.11583522,-0.3533318
0.09327904,-0.1976911,-0.17373757
0.12626573,-0.20379974,-0.079664394
0.31807727,-0.1561523,-0.08210785
0.4194808,-0.10972658,-0.062560186
0.37305507,-0.081626795,0.046173736
0.18124355,-0.040087998,0.13902517
0.060292345,-0.0022143847,0.16834667
0.09450077,0.0136680985,0.13902517
0.18490875,-0.0034361142,0.09137773
0.2081216,-0.015653409,0.07183006
0.055405427,-0.025427245,0.08038216
-0.07287616,-0.03397935,0.090156
4.2760512E-4,-0.03397935,0.08038216
0.07250965,-0.020540327,0.06694314
0.046853323,-0.025427245,0.07183006
0.029749112,-0.05597048,0.07916043
0.05784889,-0.020540327,0.069386594
0.109161526,0.01122464,0.047395468
0.125044,0.04054615,0.0363999
0.09450077,0.05276344,0.0486172
0.10183115,0.07719803,0.037621632
0.17513491,0.10407608,0.021739146
0.23133446,0.10285435,0.022960877
0.16047415,0.07231111,0.0486172
0.04563159,0.024663663,0.07183006
0.115270175,0.0063377214,0.057169303
0.32540762,-0.021762056,0.044952005
0.39626795,-0.019318597,0.06083449
0.18979566,0.0344375,0.07549524
-0.05577195,0.07231111,0.07549524
-0.059437137,0.06620246,0.07427352
0.061514076,0.057650357,0.06572141
0.11038326,0.05398517,0.052282386
0.05174024,0.039324418,0.055947572
-0.028893901,0.016111556,0.06572141
