x,y,z
-0.04233293,-0.043753184,0.04128682
-0.03622428,-0.029092433,0.030291254
-0.0044593127,-0.0071013025,0.0021914765
0.017531818,0.014889828,-0.021021383
0.015088359,0.03199404,-0.02835176
0.018753547,0.05276344,-0.044234242
0.021197006,0.05642863,-0.06500364
0.021197006,0.051541712,-0.06866883
0.023640465,0.049098253,-0.06622537
0.008979712,0.046654794,-0.057673268
0.011423171,0.03077231,-0.049121156
-0.00934623,0.014889828,-0.023464842
-0.024006983,0.012446369,-0.0026954412
4.2760512E-4,0.0063377214,0.027847795
0.015088359,-0.0046578436,0.10726021
-0.03133736,-0.018096868,0.23187661
-0.07409789,-0.037644535,0.3980318
-0.092423834,-0.070631236,0.68025136
-0.0496633,-0.087735444,1.0223355
0.018753547,-0.11217003,1.4181758
0.05051851,-0.1647044,1.9019808
0.15558724,-0.24167335,2.4945195
0.23988657,-0.3467421,3.1530316
0.29730785,-0.5471057,3.7675617
0.21911716,-0.78045607,4.340553
-0.06310233,-0.9148463,4.887888
-0.43206462,-0.97104585,5.3289323
-0.5188074,-1.0736711,5.5659475
-0.45649922,-1.1750746,5.4242268
-0.36975643,-1.182405,5.2140894
-0.27446154,-1.1298707,5.1090207
-0.2524704,-0.98448485,5.0515995
-0.37830853,-0.7242565,4.540000
-0.5762287,-0.46036294,4.8671184
-0.47971207,-0.41638067,4.5323644
-0.42229077,-0.25389066,4.0534463
-0.6250979,-0.11461349,3.4291425
-0.8389005,-0.09262236,2.595923
-0.6935147,-0.06696604,1.6136526
-0.186497,-0.0083230315,0.7474465
0.09327904,-0.069409505,0.076716974
0.10060942,-0.087735444,-0.6392165
0.34617704,0.06620246,-1.2842897
0.5526493,0.19814925,-1.6837952
0.39993313,0.3667479,-2.2384603
0.42436773,0.74304056,-3.1596444
0.7713389,1.0472512,-3.738744
0.7603433,0.87010044,-4.44246
0.07373137,0.90430886,-6.4351006
1.4713899,1.8132756,-7.915837
2.2826183,1.9525528,-8.694078
0.7151393,1.4284308,-8.872451
-0.3441001,1.1425462,-9.107023
-0.07287616,1.4235439,-8.283577
0.91794646,1.1413244,-6.7808504
-0.23414445,0.3423133,-5.1950455
-1.1919804,0.19204059,-3.7741742
-0.8022486,0.01122464,-2.2543428
0.14947858,-0.087735444,-1.0094005
0.2667646,0.09552397,-0.27758458
0.005314523,0.27633992,0.23676354
0.055405427,0.23235767,0.4102491
0.26798636,0.17249292,0.29174134
0.21911716,0.13461931,0.15979457
0.005314523,0.13706277,0.049838923
-0.11319323,0.07841976,0.011965312
-0.043554656,0.023441933,-0.013691006
0.14459167,0.01000291,-0.061338454
0.22278236,-0.046196643,-0.086994775
0.13970476,-0.081626795,-0.06622537
0.0126449,-0.09384409,-0.039347325
0.026083924,-0.08407026,-0.041790783
0.08472694,-0.063300855,-0.02713003
0.034636028,-0.07796161,0.0131870415
-0.019120065,-0.07307469,0.04373028
0.0040927934,-0.04741837,0.047395468
0.070066184,-0.01198822,0.037621632
0.056627158,0.0136680985,0.030291254
0.0126449,0.03077231,0.024182608
-0.0069027715,0.027107121,0.020517418
0.0126449,0.02832885,0.0046349354
0.03097084,0.02955058,0.0070783943
0.017531818,0.020998474,0.021739146
-0.013011418,0.016111556,0.047395468
-0.0032375832,0.027107121,0.044952005
0.046853323,0.02955058,0.04373028
0.08839213,0.018555015,0.06083449
0.10183115,0.0014508037,0.07916043
0.07250965,-0.0022143847,0.096264645
0.046853323,-0.005879573,0.08038216
0.015088359,0.0014508037,0.077938706
-0.026450442,2.2907424E-4,0.08649081
-0.0069027715,-0.015653409,0.08038216
0.063957535,-0.03153589,0.07183006
0.11649191,-0.032757618,0.06449968
0.0541837,-0.025427245,0.06205622
0.0040927934,-0.027870703,0.057169303
-0.010567959,-0.038866267,0.06083449
-0.0020158538,-0.046196643,0.06694314
0.0334143,-0.037644535,0.051060654
