x,y,z
-0.07813723,-0.05943714,0.06892845
-0.11112393,-0.104641125,0.1495626
-0.072028585,-0.06432406,0.16300163
-0.0353767,-0.05210676,0.16911027
0.015935933,-0.043554656,0.12146282
0.13322195,-0.03255909,0.07381536
0.19186497,-0.03988947,0.035941754
0.12833504,-0.048441574,0.0053985175
0.015935933,-0.06310233,0.009063706
-0.0769155,-0.087536916,-0.004375318
-0.1306716,-0.05943714,-0.030031636
-0.14411063,-0.03622428,-0.041027203
-0.08302415,-0.013011418,-0.07034871
0.066026844,0.008979712,-0.103335395
0.16254346,0.038301215,-0.13143519
0.09779181,0.041966405,-0.1241048
5.3450698E-5,0.023640465,-0.11555269
-0.0036117376,0.028527383,-0.12776999
0.025709769,0.052961968,-0.13876556
-0.012163844,0.043188132,-0.11555269
-0.0109421145,0.026083924,-0.11066578
0.02448804,0.021197006,-0.097226754
0.017157663,0.007757982,-0.058131415
-0.014607303,-0.035002552,-0.026366448
0.007383827,-0.03988947,-0.028809907
0.018379392,-0.035002552,-0.03858374
-0.037820164,-0.049663305,-0.04224893
-0.073250316,-0.06554578,-0.04347066
-0.050037455,-0.06554578,-0.050801035
0.013492474,-0.050885033,-0.056909684
0.07457895,-0.03133736,-0.06424006
0.039148793,-0.013011418,-0.066683516
-0.045150537,-0.013011418,-0.0617966
-0.045150537,-0.0020158535,-0.058131415
0.015935933,0.008979712,-0.053244498
0.011049015,0.010201441,-0.034918554
-0.04392881,-0.021563524,-0.012927424
-0.028046327,-0.026450442,-0.028809907
0.013492474,-0.00934623,-0.04224893
-0.034154974,-0.025228713,-0.02270126
-0.09279799,-0.03011563,-0.036140285
-0.07080685,-0.03133736,-0.053244498
0.012270745,-0.024006983,-0.08134428
-0.013385573,0.0126449,-0.10455713
-0.12700641,-7.941241E-4,-0.12899172
-0.13678025,0.028527383,-0.15220457
-0.10135009,0.1580307,-0.1986303
-0.0048334673,0.18613048,-0.2401691
0.12833504,0.21667372,-0.07645735
0.28349468,0.2911992,0.33893067
0.295712,0.09694423,1.0426468
0.54250133,0.11893536,2.4965048
0.8442685,0.08839212,5.0792413
-0.14899755,-0.061880596,8.440218
-0.9296827,-0.3233307,11.268522
1.126488,0.46468478,12.916635
-0.63891107,0.8397557,12.277671
-5.980312,-3.3312285,13.531165
-8.058474,-6.408765,7.4884915
-6.201445,-3.4802794,2.4879527
0.31892484,1.4836072,-2.9304173
2.4789426,4.281368,-6.8937073
2.7733793,4.393767,-6.269404
2.1087584,3.9722703,-6.527189
2.518038,3.1891415,-7.0171022
2.4752774,2.111576,-6.313386
3.127681,1.1464099,-5.3958673
1.0324148,0.2826471,-5.7147384
-1.0750685,-0.06310233,-5.722069
-0.16121484,-0.1034194,-4.4722395
1.6078494,0.24477349,-3.4520957
1.3720556,-0.0912021,-3.1332245
0.067248575,-0.33432627,-2.8253486
-0.2467359,-0.3074482,-2.263353
-0.026824597,-0.348987,-1.6695926
0.084352784,-0.39296928,-1.4032556
0.09412662,-0.31966552,-1.0587279
0.07580068,-0.2817919,-0.6066879
-0.0109421145,-0.28057018,-0.34157264
-0.04637227,-0.23047926,-0.2487212
-0.06714167,-0.16694933,-0.19618684
0.04647917,-0.10097594,-0.13021345
0.23951241,-0.005681042,-0.06790525
0.22973858,0.090835586,-0.07279217
-0.0023900082,0.10305288,-0.116774425
-0.054924373,0.08717039,-0.078900814
0.08313105,0.10549633,-0.03858374
0.23584723,0.10427461,-0.025144719
0.2260734,0.063957535,-0.014149154
0.11611775,0.019975277,0.044493858
0.0061620977,-0.010567959,0.08847612
-0.048815727,-0.0044593127,0.06526326
-0.0353767,0.008979712,0.024946187
-0.057367835,0.019975277,0.018837541
-0.10135009,0.027305653,0.020059269
-0.12334122,0.050518513,5.115997E-4
-0.14411063,0.07373137,-0.02147953
-0.20886229,0.0627358,-0.02392299
-0.25773144,0.0627358,-0.004375318
-0.25406626,0.052961968,0.013950624
