x,y,z
0.017157663,0.011423171,-0.026366448
0.0061620977,0.017531818,-0.037362013
-0.015829032,0.017531818,-0.048357576
-0.02193768,0.024862194,-0.056909684
-0.036598433,0.016310088,-0.04469239
-0.018272491,0.011423171,-0.036140285
0.0012751801,0.017531818,-0.031253368
-0.009720385,0.0040927934,-0.006818777
-0.0060551967,-0.0069027715,0.012728894
0.011049015,-0.0044593127,0.004176788
0.033040147,-0.0069027715,-0.006818777
0.0012751801,-0.0069027715,-0.0031535886
-0.03904189,-0.0081245005,-0.0031535886
-0.007276926,-0.003237583,-0.012927424
0.028153228,0.0065362523,-0.017814342
0.019601122,0.0040927934,-0.008040506
-0.0023900082,-0.0020158535,-0.004375318
-0.014607303,0.0016493348,0.004176788
0.0012751801,0.0065362523,0.020059269
0.015935933,0.019975277,0.02738965
-0.007276926,0.026083924,0.034720022
0.0477009,0.015088359,0.06770672
0.05991819,0.06640099,0.15567124
-0.11478911,0.19346085,0.25707477
-0.15388446,0.11282671,0.57961136
0.011049015,0.029749112,1.0035514
0.028153228,0.030970842,1.5582166
0.017157663,-0.186497,2.3718884
0.22973858,-0.4687165,3.3529372
0.6707829,-0.7631533,4.4439416
0.9749935,-0.9659604,5.484855
0.5522751,-1.1919804,6.750567
-0.3420308,-1.3947874,7.938088
-0.37746093,-1.5071865,8.574609
0.2553949,-1.4717563,8.501305
-0.7696361,-1.5646079,7.933201
-1.5539864,-1.7967364,7.563017
-2.2943544,-1.7930713,6.153141
-1.6456162,-1.3960092,4.687066
-0.63035893,-0.7704837,2.7567332
-0.64990664,-0.2744615,0.8960393
-0.4837514,0.12382228,-0.47962806
0.036705334,0.5306582,-1.4154729
0.31159446,0.806769,-2.1069717
0.10634392,0.9717025,-2.7618186
-0.036598433,1.136636,-3.4618697
-0.36890882,1.4555074,-3.7611935
-0.05981129,1.2734697,-3.6781158
0.17842595,1.3504386,-4.155812
0.091683164,1.8293566,-4.727581
0.65245694,1.6937447,-4.4404745
1.5198848,1.4848288,-4.0849514
0.6830002,1.2612524,-4.5259957
-0.84904855,1.222157,-4.76179
-0.6095896,1.099984,-4.365949
0.7001044,1.2172701,-4.080065
1.0690666,1.18184,-4.1887984
0.5828184,0.851973,-4.0470777
0.69033056,0.5306582,-3.2407367
0.68910885,0.2411083,-2.8534484
0.51195806,0.061514076,-2.6982887
0.122226395,0.1458134,-2.1949363
-0.13311507,0.10671806,-1.4570117
0.031818416,0.019975277,-1.0501758
0.2175213,-0.015454877,-0.82782096
0.2260734,-0.041111197,-0.60057926
0.16132173,4.2760532E-4,-0.33302054
0.12833504,0.026083924,-0.1778609
0.18575633,0.03585776,-0.06790525
0.11611775,0.008979712,-0.048357576
-0.06103302,-0.0020158535,-0.0055970475
-0.19786672,0.017531818,0.054267693
-0.23696207,0.008979712,0.12024109
-0.20886229,-0.03255909,0.13978876
-0.17831905,-0.049663305,0.13978876
-0.14411063,-0.044776388,0.14345396
-0.06347648,-0.026450442,0.1336801
0.008605557,4.2760532E-4,0.08725439
0.0477009,0.021197006,0.050602507
0.07213549,0.019975277,0.028611377
0.08313105,0.023640465,0.017615814
0.0477009,0.026083924,0.004176788
0.008605557,0.024862194,0.004176788
0.0049403682,0.007757982,5.115997E-4
0.042813983,4.2760532E-4,-0.017814342
0.067248575,4.2760532E-4,-0.009262236
0.025709769,-0.011789689,0.0017333291
-0.02193768,-0.017898336,-0.0019318592
-0.04148535,-0.014233148,-0.006818777
-0.02193768,-0.0081245005,-0.012927424
0.0024969096,-0.0020158535,-0.02392299
0.019601122,0.0040927934,-0.028809907
0.017157663,0.011423171,-0.033696823
0.0012751801,0.026083924,-0.048357576
0.003718639,0.023640465,-0.06301834
0.028153228,0.03219257,-0.056909684
0.02204458,0.018753547,-0.04713585
-0.0011682787,0.005314523,-0.026366448
-0.028046327,-0.003237583,-0.0019318592
-0.018272491,-7.941241E-4,0.015172351
