x,y,z
0.11489602,0.044409864,-0.0031535886
0.012270745,0.033414297,0.020059269
-0.037820164,0.019975277,0.020059269
0.037927065,0.010201441,0.026167918
0.09534835,0.022418736,0.04571559
0.058696464,0.019975277,0.07992402
0.017157663,0.028527383,0.09458476
0.10756565,0.043188132,0.13123666
0.16254346,0.030970842,0.20209697
0.16254346,0.033414297,0.30960914
0.17964767,0.06884445,0.46843398
0.34824637,0.05174024,0.75431865
0.5950357,0.11038326,1.1892543
0.4252153,0.1164919,1.6046423
0.008605557,0.050518513,1.9919305
-0.09890663,-7.941241E-4,2.382884
0.41544148,-0.0912021,2.8947885
0.796621,-0.1742797,3.484884
0.47774968,-0.25124866,4.02611
0.017157663,-0.4345081,4.485481
-0.024381138,-0.6654149,4.9497375
0.14910443,-0.724058,5.4152164
0.05991819,-0.62143266,5.7365317
-0.76597095,-0.53713334,5.693771
-1.519778,-0.6751888,5.31137
-1.474574,-0.6263196,4.9912767
-0.8392747,-0.54079854,4.8055735
-0.2723922,-0.30256128,4.6113186
-0.65357184,-0.06065887,4.112853
-1.1789155,4.2760532E-4,3.8917198
-1.4892348,0.045631595,3.5093186
-1.2925364,0.090835586,3.1061478
-0.92846096,0.125044,2.4183142
-0.6987758,0.19590431,1.759802
-0.36890882,0.13603957,1.2344583
-0.09401971,-0.005681042,0.6529151
-0.050037455,-0.105862856,0.16544507
-0.04392881,-0.05577195,-0.22550835
0.045257438,-0.08265,-0.46618906
0.11978294,-0.07287616,-0.7862822
0.30670756,0.019975277,-1.0245194
0.48996696,0.015088359,-1.112484
0.44720644,-0.12296707,-1.2224396
0.14543925,-0.18894047,-1.4081424
0.0806876,0.0016493348,-1.7013576
0.516845,0.15558724,-1.8381913
0.86625963,0.19956951,-2.023894
0.87359,0.30585995,-2.4062955
0.9725501,0.30585995,-2.372087
0.98354566,0.0957225,-2.2010448
0.30792928,-0.015454877,-2.3769739
-0.14655408,0.125044,-2.5419073
0.25295144,0.1458134,-2.3024485
0.60236603,0.090835586,-2.2804573
0.26639047,0.0749531,-2.4954817
-0.084245875,0.3608378,-2.6848497
0.08313105,0.5502058,-2.7276103
0.3910069,0.5196626,-2.7361624
0.28593814,0.4695717,-3.0367079
0.25172973,0.63694865,-3.1063464
0.57670975,0.65771806,-3.0745814
0.90046805,0.377942,-2.8656657
0.692774,0.107939795,-2.8839917
0.3213683,0.08594866,-2.841231
0.16498692,0.29364267,-2.8974307
0.07335722,0.48056728,-2.8082445
-0.18076251,0.3535074,-2.6139894
-0.268727,0.28020364,-2.5736723
0.0049403682,0.39138103,-2.4246213
0.3372508,0.41459388,-2.1631713
0.21996474,0.30097306,-1.956699
-0.0036117376,0.21545199,-1.7758831
-0.04026362,0.2325562,-1.5669674
-0.053702645,0.25576904,-1.3458343
-0.15021928,0.170248,-1.112484
-0.13189334,0.06029235,-0.9536591
0.019601122,0.034636028,-0.7850604
-0.03904189,0.022418736,-0.65189195
-0.28338778,-0.003237583,-0.5810316
-0.4226649,-0.03622428,-0.50284094
-0.35791326,-0.05577195,-0.4637456
-0.16854522,-0.019120065,-0.44419792
-0.072028585,0.034636028,-0.42587197
-0.14411063,0.05174024,-0.4185416
-0.18198425,0.041966405,-0.3733376
-0.050037455,0.04807505,-0.33302054
0.034261875,0.063957535,-0.29026002
-0.025602868,0.06640099,-0.2401691
-0.15144101,0.052961968,-0.18885645
-0.22230132,0.010201441,-0.12166135
-0.10623701,-0.027672172,-0.09967022
0.08190933,-0.03622428,-0.085009456
0.17109556,-0.066767514,-0.0740139
0.111230835,-0.06310233,-0.06057487
-0.084245875,-0.09608902,-0.053244498
-0.13555852,-0.08875865,-0.04713585
-0.051259186,-0.08875865,-0.028809907
0.02448804,-0.086315185,-0.0031535886
0.02448804,-0.092423834,0.022502732
0.011049015,-0.06921098,0.037163485
